"";"species";"g";"ntraits";"d";"pop";"dims";"ndims";"traitgroups";"emean";"emin";"emax";"cmean";"div";"edelta";"cdelta";"theta"
"1";"Lobelia_siphilitica";"Lobelia siphilitica: CERA";6;"Lobelia siphilitica: Caruso et al 2003 field";"CERA";"coun+line";2;"flo";1,07883405207783;0,01308417628497;4,64979600049391;0,136530972821206;21,9635651959431;2,95236403912091;0,513935974932862;41,5693868382823
"2";"Lobelia_siphilitica";"Lobelia siphilitica: CERA";6;"Lobelia siphilitica: Caruso et al 2003 field";"Krumm";"coun+line";2;"flo";1,07883405207783;0,01308417628497;4,64979600049391;0,136530972821206;41,0377687467289;3,61147931277614;0,490552161017894;31,1995120215104
"3";"Lobelia_siphilitica";"Lobelia siphilitica: CERA";6;"Lobelia siphilitica: Caruso et al 2003 field";"Reichelt";"coun+line";2;"flo";1,07883405207783;0,01308417628497;4,64979600049391;0,136530972821206;31,4365292598065;2,81153061042644;0,601354037309756;43,8204802530672
"4";"Lobelia_siphilitica";"Lobelia siphilitica: CERA";5;"Lobelia siphilitica: Caruso 2012 greenhouse";"CD1";"coun+line";2;"flo";1,25687948298448;0,182561873208328;4,59301342786284;0,417550035764215;9,84560532744929;4,35139177289466;2,59248100193186;13,889623082444
"5";"Lobelia_siphilitica";"Lobelia siphilitica: CERA";5;"Lobelia siphilitica: Caruso 2012 greenhouse";"CD2";"coun+line";2;"flo";1,25687948298448;0,182561873208328;4,59301342786284;0,417550035764215;11,6951975696539;3,32814501072816;1,23011582802291;33,9791188587669
"6";"Lobelia_siphilitica";"Lobelia siphilitica: CERA";5;"Lobelia siphilitica: Caruso 2012 greenhouse";"CERA";"coun+line";2;"flo";1,25687948298448;0,182561873208328;4,59301342786284;0,417550035764215;15,5072053979577;4,06746065964286;2,08845564493454;21,5567198085645
"7";"Lobelia_siphilitica";"Lobelia siphilitica: CERA";5;"Lobelia siphilitica: Caruso 2012 greenhouse";"H2";"coun+line";2;"flo";1,25687948298448;0,182561873208328;4,59301342786284;0,417550035764215;15,3054007831042;3,3245594590244;1,27697732871982;34,6588167234153
"8";"Lobelia_siphilitica";"Lobelia siphilitica: CERA";5;"Lobelia siphilitica: Caruso 2012 greenhouse";"M1";"coun+line";2;"flo";1,25687948298448;0,182561873208328;4,59301342786284;0,417550035764215;13,9103228717804;3,24605994237239;1,24433108776794;36,0909586991562
"9";"Lobelia_siphilitica";"Lobelia siphilitica: CERA";5;"Lobelia siphilitica: Caruso 2012 greenhouse";"O";"coun+line";2;"flo";1,25687948298448;0,182561873208328;4,59301342786284;0,417550035764215;23,4129302047976;2,53266908692658;0,873623943043435;46,4908837650492
"10";"Lobelia_siphilitica";"Lobelia siphilitica: CERA";5;"Lobelia siphilitica: Caruso 2012 greenhouse";"PV1";"coun+line";2;"flo";1,25687948298448;0,182561873208328;4,59301342786284;0,417550035764215;15,5977378405898;1,57742971906506;0,603254109008821;60,0772661802633
"11";"Lobelia_siphilitica";"Lobelia siphilitica: CERA";5;"Lobelia siphilitica: Caruso 2012 greenhouse";"RH";"coun+line";2;"flo";1,25687948298448;0,182561873208328;4,59301342786284;0,417550035764215;21,8870816807739;1,10705029701034;0,691819868802;72,2338849365599
"12";"Lobelia_siphilitica";"Lobelia siphilitica: CERA";5;"Lobelia siphilitica: Caruso 2012 greenhouse";"Wa";"coun+line";2;"flo";1,25687948298448;0,182561873208328;4,59301342786284;0,417550035764215;21,3568926741751;2,41676953359398;0,842528988672996;48,3441417874261
"13";"Lobelia_siphilitica";"Lobelia siphilitica: CERA";5;"Lobelia siphilitica: Caruso 2012 greenhouse";"Y";"coun+line";2;"flo";1,25687948298448;0,182561873208328;4,59301342786284;0,417550035764215;18,5479443566276;0,841662878746119;0,554012482338599;78,3955767549925
"14";"Lobelia_siphilitica";"Lobelia siphilitica: Krumm";6;"Lobelia siphilitica: Caruso et al 2003 field";"CERA";"coun+line";2;"flo";1,55001564139243;0,0654838237619336;6,15726951344138;0,394028558497066;20,2502946857193;4,47148641072803;1,70022878762976;36,1131962292475
"15";"Lobelia_siphilitica";"Lobelia siphilitica: Krumm";6;"Lobelia siphilitica: Caruso et al 2003 field";"Krumm";"coun+line";2;"flo";1,55001564139243;0,0654838237619336;6,15726951344138;0,394028558497066;41,19268160446;5,18072056899611;2,27598776533865;26,5804805879525
"16";"Lobelia_siphilitica";"Lobelia siphilitica: Krumm";6;"Lobelia siphilitica: Caruso et al 2003 field";"Reichelt";"coun+line";2;"flo";1,55001564139243;0,0654838237619336;6,15726951344138;0,394028558497066;29,2947937280154;4,2546741664548;1,82384331645607;39,4135583180098
"17";"Lobelia_siphilitica";"Lobelia siphilitica: Krumm";5;"Lobelia siphilitica: Caruso 2012 greenhouse";"CD1";"coun+line";2;"flo";1,81423534833167;0,264421485131365;6,14619642840186;0,660890478811609;8,64523613406643;5,97642239831825;4,2902442010768;10,0914207174113
"18";"Lobelia_siphilitica";"Lobelia siphilitica: Krumm";5;"Lobelia siphilitica: Caruso 2012 greenhouse";"CD2";"coun+line";2;"flo";1,81423534833167;0,264421485131365;6,14619642840186;0,660890478811609;8,68703881370401;5,34437207018335;3,00554334909183;23,5921278309966
"19";"Lobelia_siphilitica";"Lobelia siphilitica: Krumm";5;"Lobelia siphilitica: Caruso 2012 greenhouse";"CERA";"coun+line";2;"flo";1,81423534833167;0,264421485131365;6,14619642840186;0,660890478811609;13,6500518236453;5,68842107903025;3,12384329883828;17,2763629787384
"20";"Lobelia_siphilitica";"Lobelia siphilitica: Krumm";5;"Lobelia siphilitica: Caruso 2012 greenhouse";"H2";"coun+line";2;"flo";1,81423534833167;0,264421485131365;6,14619642840186;0,660890478811609;12,4800971737877;5,07236126388252;2,18671637818853;27,9080373474369
"21";"Lobelia_siphilitica";"Lobelia siphilitica: Krumm";5;"Lobelia siphilitica: Caruso 2012 greenhouse";"M1";"coun+line";2;"flo";1,81423534833167;0,264421485131365;6,14619642840186;0,660890478811609;11,406686157393;4,88879119936623;1,6622442332397;29,9005478557743
"22";"Lobelia_siphilitica";"Lobelia siphilitica: Krumm";5;"Lobelia siphilitica: Caruso 2012 greenhouse";"O";"coun+line";2;"flo";1,81423534833167;0,264421485131365;6,14619642840186;0,660890478811609;19,9873392593956;3,86947288771894;1,15733724448902;42,544187421291
"23";"Lobelia_siphilitica";"Lobelia siphilitica: Krumm";5;"Lobelia siphilitica: Caruso 2012 greenhouse";"PV1";"coun+line";2;"flo";1,81423534833167;0,264421485131365;6,14619642840186;0,660890478811609;12,7052945667333;2,61069313539418;0,933707819949814;57,3413359439465
"24";"Lobelia_siphilitica";"Lobelia siphilitica: Krumm";5;"Lobelia siphilitica: Caruso 2012 greenhouse";"RH";"coun+line";2;"flo";1,81423534833167;0,264421485131365;6,14619642840186;0,660890478811609;19,0036268071915;1,91017870941186;0,964269251701373;71,7256518536527
"25";"Lobelia_siphilitica";"Lobelia siphilitica: Krumm";5;"Lobelia siphilitica: Caruso 2012 greenhouse";"Wa";"coun+line";2;"flo";1,81423534833167;0,264421485131365;6,14619642840186;0,660890478811609;17,778078118039;3,69064014520767;1,00535952201979;44,2847156790483
