"";"species";"g";"ntraits";"nPop";"nFam";"dims";"ndims";"traitgroups";"emean";"emin";"emax";"cmean";"imean";"d";"dmean";"betaT";"betaT_SE";"r2T";"betaT_cond";"r2T_cond";"betaG";"betaG_SE";"r2G";"betaD";"betaD_SE";"r2D";"betaD_cond";"r2D_cond";"betaP";"r2P";"betaP_cond";"r2P_cond";"r2All";"theta"
"1";"Lobelia_siphilitica";"Lobelia siphilitica: CERA";5;10;57;"coun+line";2;"flo";1,26;0,183;4,59;0,418;0,511;"Lobelia siphilitica: Caruso 2012 greenhouse";0,00869;0,003;0,013;0;0,011;0,004;0,673;0,173;0,572;1,76;0,232;0,625;2,33;0,67;0,826;0,316;0,933;0,318;0,215;63,7
"2";"Lobelia_siphilitica";"Lobelia siphilitica: CERA";6;3;57;"coun+line";2;"flo";1,08;0,0131;4,65;0,137;0,802;"Lobelia siphilitica: Caruso et al 2003 field";0,0363;1,56;0,115;0,827;1,15;0,713;0,619;0,042;0,487;1,72;0,141;0,858;1,46;0,606;1,32;0,833;0,879;0,437;0,514;21,8
"3";"Lobelia_siphilitica";"Lobelia siphilitica: Krumm";5;10;55;"coun+line";2;"flo";1,81;0,264;6,15;0,661;0,5;"Lobelia siphilitica: Caruso 2012 greenhouse";0,00869;0,031;0,011;0,033;0,013;0,006;0,508;0,11;0,42;1,89;0,264;0,643;3,42;0,729;0,727;0,352;0,856;0,431;0,189;64,5
"4";"Lobelia_siphilitica";"Lobelia siphilitica: Krumm";6;3;55;"coun+line";2;"flo";1,55;0,0655;6,16;0,394;0,637;"Lobelia siphilitica: Caruso et al 2003 field";0,0363;1,66;0,108;0,915;1,42;0,895;1,04;0,103;0,813;1,9;0,097;0,95;1,69;0,867;1,26;0,77;1,28;0,744;0,772;17,4
"5";"Aquilegia_canadensis";"Aquilegia canadensis: QFP1";3;7;48;"line";1;"flo";9,44;0,138;27,3;0,641;0,874;"Aquilegia canadensis: Bartkowska et al. 2018 field";0,00506;0,73;0,069;0,997;0,652;0,984;0,677;0,041;0,964;1,06;0,058;0,918;0,927;0,965;0,729;0,934;0,728;0,919;0,865;10
"6";"Aquilegia_canadensis";"Aquilegia canadensis: QLL3";3;7;64;"line";1;"flo";4,18;0,129;11,9;0,497;0,787;"Aquilegia canadensis: Bartkowska et al. 2018 field";0,00506;0,865;0,043;0,997;0,825;0,953;0,84;0,052;0,958;1,06;0,058;0,978;0,975;0,988;0,858;0,97;0,821;0,97;0,953;5,16
"7";"Aquilegia_canadensis";"Aquilegia canadensis: QFP1";3;5;48;"line";1;"flo";9,44;0,138;27,3;0,641;0,874;"Aquilegia canadensis: Herlihy and Eckert 2007 field";0,0341;1,28;0,075;0,849;1,11;0,794;1,07;0,094;0,885;1,47;0,083;0,995;1,39;0,997;1,32;0,957;1,32;0,945;0,888;3,64
"8";"Aquilegia_canadensis";"Aquilegia canadensis: QLL3";3;5;64;"line";1;"flo";4,18;0,129;11,9;0,497;0,787;"Aquilegia canadensis: Herlihy and Eckert 2007 field";0,0341;1,51;0,077;0,849;1,36;0,716;1,32;0,06;0,955;1,66;0,102;0,997;1,51;0,998;1,54;0,985;1,48;0,985;0,923;3,25
"9";"Brassica_cretica";"Brassica cretica: Go";7;5;34;"coun+line+rati";3;"flo+lif+veg";1,51;0,0318;5,2;0,199;0,828;"Brassica cretica: Widen et al 2002 greenhouse";0,0871;0,583;0,103;0,446;0,585;0,59;0,33;0,168;0,342;2,8;0,748;0,705;0,896;0,149;NA;NA;NA;NA;0,144;63,9
"10";"Brassica_cretica";"Brassica cretica: Ma";7;5;31;"coun+line+rati";3;"flo+lif+veg";5,84;0,0481;20;0,52;0,88;"Brassica cretica: Widen et al 2002 greenhouse";0,109;0,371;0,06;0,429;0,334;0,644;0,584;0,262;0,756;2,17;0,463;0,887;1,54;0,674;NA;NA;NA;NA;0,339;46
