TYPE;IDENTITY;IDNO;LEN;TIP;MAX;MIN;TEETH
POP;ALAN;1;87;42;24;0.5;11
POP;ALAN;1;92;50;25;1;11
POP;ALAN;1;81;41;28;1;13
POP;ALAN;1;71;40;16;0.5;9
POP;ALAN;1;57;29;16;0.5;8
POP;ALAN;1;71;37;18;0.5;9
POP;ALAN;1;80;45;23;1;10
POP;ALAN;1;81;44;21;1;7
POP;ALAN;1;62;30;17;0.5;9
POP;ALAN;1;77;44;22;1;12
POP;ALGU;2;65;21;13;3;12
POP;ALGU;2;82;22;16;6;13
POP;ALGU;2;74;28;15;6;12
POP;ALGU;2;67;16;13;5;13
POP;ALGU;2;67;16;12;4;17
POP;ALGU;2;63;12;13;6;11
POP;ALGU;2;78;28;17;6;11
POP;ALGU;2;81;27;15;5;12
POP;ALGU;2;90;25;17;4;13
POP;ALGU;2;62;14;13;7;12
POP;ALGU;2;70;16;14;4;13
POP;ALGU;2;71;23;15;5;15
POP;ALGU;2;65;19;14;4;16
POP;ALGU;2;65;15;13;6;14
POP;ALGU;2;63;20;13;7;13
POP;ANTW;3;105;31;20;5;16
POP;ANTW;3;106;27;30;15;14
POP;ANTW;3;85;30;21;14;10
POP;ANTW;3;121;45;23;9;20
POP;ANTW;3;102;35;23;6;17
POP;ANTW;3;107;27;29;10;19
POP;ANTW;3;94;24;27;17;14
POP;ANTW;3;109;39;25;5;23
POP;ANTW;3;122;45;26;7;27
POP;ANTW;3;102;33;23;7;21
POP;ANTW;3;122;45;28;8;20
POP;ANTW;3;145;53;32;5;21
POP;ANTW;3;108;24;21;9;15
POP;ANTW;3;120;54;35;10;18
POP;ARHU;4;94;51;26;2;23
POP;ARHU;4;124;60;43;3;39
POP;ARHU;4;65;15;14;3;10
POP;ARHU;4;72;30;17;2;20
POP;ARHU;4;83;35;22;2;21
POP;ARHU;4;97;40;21;3;31
POP;ARHU;4;87;37;22;2;22
POP;ARHU;4;80;28;15;2;11
POP;ARHU;4;85;50;21;2;23
POP;ARHU;4;80;20;13;5;19
POP;ARHU;4;87;37;27;2;21
POP;ARHU;4;63;30;18;3;15
POP;ARHU;4;99;51;23;2;28
POP;ARHU;4;75;33;20;2;27
POP;ARRI;5;96;32;20;2;24
POP;ARRI;5;80;29;19;1;19
POP;ARRI;5;82;24;17;4;15
POP;ARRI;5;60;21;12;3;8
POP;ARRI;5;67;22;16;4;6
POP;ARRI;5;83;28;19;2;12
POP;ARRI;5;73;23;18;2;14
POP;ARRI;5;75;28;18;1;17
POP;ARRI;5;82;36;20;2;19
POP;ARRI;5;54;20;12;3;7
POP;ARRI;5;75;27;16;4;11
POP;ARRI;5;77;24;19;3;8
POP;ARRI;5;84;32;17;2;18
POP;ARRI;5;80;28;20;3;10
POP;BLID;6;75;19;14;5;23
POP;BLID;6;97;34;17;8;35
POP;BLID;6;88;29;15;6;35
POP;BLID;6;84;22;15;7;28
POP;BLID;6;60;20;11;6;22
POP;BLID;6;88;31;15;7;24
POP;BLID;6;92;22;17;9;26
POP;BLID;6;87;31;19;9;27
POP;BLID;6;85;25;16;6;28
POP;BLID;6;74;24;13;7;27
POP;BLID;6;63;29;14;6;33
POP;BLID;6;103;20;16;7;35
POP;BLID;6;90;32;17;10;25
POP;BLID;6;103;40;17;6;29
POP;BLID;6;77;24;15;6;27
POP;BLID;6;89;33;16;6;30
POP;BLID;6;67;15;13;5;24
POP;BLID;6;82;22;15;8;23
POP;BLID;6;92;33;15;6;22
POP;BORD;7;101;48;26;2;29
POP;BORD;7;87;28;19;4;18
POP;BORD;7;87;29;23;4;17
POP;BORD;7;100;27;23;4;20
POP;BORD;7;102;27;18;5;23
POP;BORD;7;113;28;27;13;27
POP;BORD;7;124;35;26;6;23
POP;BORD;7;101;33;22;10;18
POP;BORD;7;108;46;22;4;18
POP;BORD;7;103;36;31;7;29
POP;BORD;7;93;26;25;4;28
POP;BORD;7;112;31;27;4;19
POP;BORD;7;101;23;19;11;12
POP;BORD;7;74;31;21;5;17
POP;BORO;8;70;23;11;7;18
POP;BORO;8;77;31;14;6;25
POP;BORO;8;70;23;13;5;22
POP;BORO;8;68;21;11;5;22
POP;BORO;8;67;19;12;5;21
POP;BORO;8;82;25;14;5;22
POP;BORO;8;64;22;11;7;18
POP;BORO;8;70;36;14;3;14
POP;BORO;8;52;15;12;3;11
POP;BORO;8;63;19;13;3;14
POP;BORO;8;86;23;15;4;23
POP;BORO;8;56;21;9;4;25
POP;BORO;8;67;19;11;4;23
POP;BORO;8;67;17;13;6;22
POP;BORO;8;72;25;15;4;15
POP;BORO;8;68;28;13;5;24
POP;BORO;8;67;15;12;5;19
POP;BORO;8;63;23;10;4;23
POP;BORO;8;57;13;9;6;17
POP;BORO;8;61;21;11;5;17
POP;BRAN;9;87;41;18;1;18
POP;BRAN;9;101;30;22;2;13
POP;BRAN;9;74;30;18;1;23
POP;BRAN;9;111;38;23;2;26
POP;BRAN;9;95;27;19;2;15
POP;BRAN;9;78;33;17;2;19
POP;BRAN;9;107;31;20;1;16
POP;BRAN;9;66;30;17;3;13
POP;BRAN;9;73;23;19;1;14
POP;BRAN;9;82;26;18;1;14
POP;BRAN;9;85;34;19;1;13
POP;BRAN;9;89;30;20;2;14
POP;BRAN;9;88;30;19;1;26
POP;BRAN;9;79;38;15;2;15
POP;BRAN;9;89;31;20;2;17
POP;BRIT;10;83;29;18;3;14
POP;BRIT;10;75;27;15;5;11
POP;BRIT;10;97;20;19;5;12
POP;BRIT;10;69;24;14;3;13
POP;BRIT;10;68;18;16;5;14
POP;BRIT;10;81;22;18;3;14
POP;BRIT;10;83;30;18;4;10
POP;BRIT;10;93;33;19;4;11
POP;BRIT;10;74;29;15;4;12
POP;BRIT;10;83;24;13;4;12
POP;BRIT;10;88;28;21;2;15
POP;BRIT;10;68;24;15;4;11
POP;BRIT;10;79;25;14;2;13
POP;BRIT;10;91;30;15;3;19
POP;DROS;11;77;28;20;2;17
POP;DROS;11;132;45;37;1;31
POP;DROS;11;84;28;21;1;21
POP;DROS;11;109;37;26;1;23
POP;DROS;11;96;36;18;1;15
POP;DROS;11;69;22;11;1;21
POP;DROS;11;97;36;22;1;23
POP;DROS;11;88;40;21;1;12
POP;DROS;11;100;61;26;1;31
POP;DROS;11;71;25;16;1;20
POP;DROS;11;95;40;23;1;22
POP;DROS;11;109;41;31;2;25
POP;DROS;11;119;37;32;2;28
POP;DROS;11;98;27;24;2;29
POP;DROS;11;88;34;25;2;17
POP;DROS;11;86;29;18;1;20
POP;DROS;11;72;25;18;1;16
POP;DROS;11;84;28;21;2;24
POP;EKEL;12;97;32;26;1;33
POP;EKEL;12;83;35;26;1;27
POP;EKEL;12;71;23;16;1;15
POP;EKEL;12;91;52;21;0.5;21
POP;EKEL;12;71;29;21;1;17
POP;EKEL;12;66;20;12;0.5;9
POP;EKEL;12;88;34;23;0.5;27
POP;EKEL;12;65;27;18;0.5;14
POP;EKEL;12;75;26;19;1;20
POP;EKEL;12;66;22;12;1;20
POP;EKEL;12;70;23;13;2;17
POP;EKEL;12;99;31;24;0.5;20
POP;EKEL;12;83;31;18;1;29
POP;EKEL;12;84;31;17;0.5;18
POP;EKEL;12;69;26;15;1;16
POP;EKEL;12;96;30;20;1;28
POP;EKEL;12;75;27;17;1;14
POP;EKEL;12;87;50;28;2;32
POP;EKEL;12;70;35;25;0.5;22
POP;EKEL;12;82;32;19;1;25
POP;FILE;13;79;39;15;3;13
