Population;mp_Plant_height;mp_Leaf_distance;mp_Leaf_length;mp_Sepal_length;mp_Nectary_length;mp_Anther_length;o_Plant_height;o_Leaf_distance;o_Leaf_length;o_Sepal_length;o_Nectary_length;o_Anther_length;
Mikonos;425.0;9.5;15.0;13.38;8.13;9.12;484.3;44.4;27.5;12.58;8.37;8.68;
Mikonos;370.0;3.5;12.0;11.89;7.49;8.13;381.4;14.6;24.1;11.53;7.65;7.84;
Mikonos;255.0;3.5;12.0;12.46;7.64;7.83;342.7;8.1;22.8;11.18;7.34;7.46;
Mikonos;376.0;5.0;9.0;12.24;7.37;7.98;431.9;15.8;22.9;11.92;7.07;7.68;
Mikonos;432.5;8.5;15.0;13.76;7.71;8.51;421.9;21.0;25.4;12.76;7.66;8.15;
Mikonos;247.0;3.0;11.5;11.02;6.69;7.41;372.3;10.6;23.6;11.34;7.00;7.36;
Mikonos;289.0;2.5;12.5;11.70;7.30;7.90;372.1;17.5;23.5;10.92;7.24;6.92;
Mikonos;347.0;2.0;12.5;11.93;7.52;8.09;377.3;15.5;21.8;12.11;7.72;8.19;
Mikonos;251.0;6.5;14.5;12.08;7.18;7.94;390.9;15.8;24.5;10.74;6.65;7.27;
Mikonos;376.0;3.5;12.0;12.20;7.22;8.36;428.6;27.2;24.7;11.20;7.18;7.65;
Mikonos;413.0;3.5;12.0;11.44;7.52;7.90;416.3;10.4;23.7;11.76;7.71;7.64;
Mikonos;334.0;4.0;51.0;12.16;6.99;7.75;360.1;8.7;23.2;11.46;7.10;7.07;
Mikonos;328.0;5.0;13.0;12.88;7.56;8.32;411.3;23.7;24.4;11.78;7.70;7.73;
Mikonos;303.0;4.0;11.5;11.29;7.07;7.79;406.5;9.2;21.9;10.98;7.01;7.59;
Mikonos;386.0;3.5;14.0;12.88;7.94;8.21;423.9;16.8;26.4;12.31;8.13;7.76;
Mikonos;363.0;4.0;12.0;13.07;7.64;8.09;431.5;31.0;25.7;11.50;7.54;7.28;
Mikonos;379.5;9.0;13.5;13.19;7.45;8.44;488.5;22.8;24.3;11.99;7.72;7.85;
Mikonos;292.5;2.0;11.0;12.50;7.18;8.32;342.6;17.0;22.6;12.03;7.33;7.80;
Mikonos;451.0;6.5;15.0;13.07;7.52;8.78;447.7;24.4;28.0;12.44;7.87;8.04;
Mikonos;317.0;6.0;10.5;12.16;7.07;7.79;409.2;34.1;24.2;11.25;7.14;7.46;
Mikonos;403.5;5.5;15.5;12.69;7.98;8.40;418.6;46.5;28.4;12.82;8.04;8.14;
Mikonos;214.5;4.5;13.5;10.72;7.26;7.98;328.7;10.5;22.8;11.87;7.95;8.17;
Mikonos;304.5;4.0;12.0;12.35;7.56;7.90;377.9;14.5;21.3;11.37;7.41;7.57;
Mikonos;294.5;6.0;11.0;11.93;7.41;8.17;322.8;12.5;20.7;12.14;7.84;8.01;
Mikonos;285.0;2.0;11.5;11.78;7.45;7.75;311.1;5.7;25.5;13.33;7.79;7.88;
Mikonos;314.0;4.5;11.5;12.20;7.03;7.75;457.2;24.7;25.5;12.40;8.30;8.27;
Mikonos;303.5;5.0;12.5;12.08;7.56;8.74;366.9;17.5;20.5;11.26;7.13;7.62;
Mikonos;344.5;6.5;16.0;13.07;8.55;8.74;369.2;28.7;27.3;12.85;8.30;7.92;
Mikonos;369.0;6.5;13.0;12.27;7.41;8.13;396.3;10.3;23.3;11.84;7.41;8.02;
Mikonos;326.5;2.0;11.0;10.79;6.42;7.22;404.0;8.4;24.3;11.26;7.24;7.50;
Mikonos;289.0;7.5;13.5;11.40;7.11;7.90;369.8;10.7;21.0;11.26;7.13;7.53;
Mikonos;308.5;4.0;13.5;12.20;7.33;7.98;307.1;9.5;22.9;11.76;7.13;7.38;
Mikonos;386.5;3.5;14.0;12.05;7.37;7.90;386.1;9.7;23.7;11.70;7.24;7.74;
Mikonos;348.5;6.0;12.5;11.67;7.18;7.79;341.3;10.1;16.6;10.14;6.79;7.06;
Mikonos;295.5;2.5;15.0;12.16;7.22;7.64;352.7;15.3;22.5;12.51;7.77;7.79;
Mikonos;378.5;4.5;10.0;12.27;7.26;8.09;502.2;46.8;30.3;11.28;7.43;7.57;
Mikonos;299.0;5.0;14.5;12.50;7.60;8.32;337.8;11.9;23.7;12.30;8.09;8.06;
Mikonos;334.5;5.0;12.0;11.21;7.18;7.75;464.8;33.0;25.0;12.08;7.66;7.68;
Mikonos;450.5;3.5;15.5;12.50;7.45;8.25;417.0;21.3;26.0;12.60;7.94;7.98;
Mikonos;357.0;5.0;11.5;11.21;6.80;7.52;378.5;14.8;18.5;10.90;6.90;7.11;
Mikonos;349.0;3.0;12.5;12.54;7.75;8.63;410.5;22.3;23.7;11.10;7.07;7.75;
Mikonos;466.5;7.5;14.5;13.53;7.75;9.12;508.6;39.8;29.0;12.79;8.01;8.31;
Mikonos;343.0;3.0;10.0;12.24;7.37;8.47;348.3;15.1;20.2;11.51;7.59;7.89;
Mikonos;328.0;8.0;13.5;11.63;7.37;8.21;332.7;24.3;22.9;11.30;7.36;7.81;
Mikonos;320.0;5.0;15.0;12.84;7.52;8.21;331.8;9.1;26.3;12.52;7.92;7.75;
Mikonos;313.5;8.0;14.5;12.08;7.41;7.94;352.1;22.6;25.5;11.62;7.88;7.55;
Mikonos;399.5;6.0;16.0;13.00;7.45;8.25;409.2;17.4;26.7;11.87;7.25;7.51;
Mikonos;394.0;6.0;16.5;11.97;6.88;8.02;493.4;25.7;28.4;10.97;6.80;7.28;
Mikonos;447.0;7.5;17.0;12.54;7.56;7.98;437.0;14.1;25.7;12.75;7.89;8.25;
Mikonos;354.5;7.5;11.5;12.16;7.14;8.32;336.2;16.9;23.0;12.08;7.14;7.67;
Mikonos;250.0;4.0;10.5;12.05;7.14;7.56;398.3;21.6;23.8;12.44;7.47;7.70;
Mikonos;351.5;4.5;12.5;11.40;6.69;7.52;434.4;30.7;25.5;11.44;6.97;7.16;
Mikonos;426.0;4.5;14.5;13.60;7.60;8.36;446.5;13.5;24.9;13.11;7.52;8.00;
Mikonos;323.0;1.5;12.5;12.84;7.68;8.17;385.7;19.3;28.1;12.07;7.76;7.63;
Mikonos;373.0;4.5;13.0;12.01;7.33;7.98;386.6;12.8;20.4;11.63;7.32;7.36;
Mikonos;354.5;3.0;11.0;10.60;6.54;7.22;413.2;17.6;21.4;11.38;7.04;7.46;
Mikonos;342.5;7.0;12.0;12.05;7.33;8.21;387.4;39.9;25.2;11.69;7.71;8.04;
Mikonos;311.5;2.0;12.0;11.89;7.33;8.36;364.3;21.3;26.7;11.74;7.71;8.25;
Mikonos;361.5;6.0;11.5;12.20;6.88;7.79;454.1;34.8;22.9;11.80;7.10;7.36;
Mikonos;464.5;6.5;14.5;12.69;7.26;7.94;444.9;22.0;28.1;12.17;7.61;7.54;
Mikonos;209.0;1.5;13.0;11.32;7.37;7.98;331.6;12.4;24.5;13.24;8.17;8.09;
Mikonos;369.5;3.5;12.0;11.93;6.95;7.56;388.2;10.4;21.3;11.20;7.11;7.34;
Mikonos;242.0;5.0;14.0;12.01;7.07;7.83;358.2;21.0;27.2;12.05;7.55;8.04;
Mikonos;278.5;2.5;12.5;12.35;7.07;7.68;340.3;13.1;22.8;11.66;6.94;7.24;
Mikonos;371.0;3.0;14.0;12.39;7.30;8.32;380.7;20.3;24.6;12.39;7.52;7.81;
Mikonos;303.0;3.0;9.5;11.82;7.03;7.87;394.2;24.5;27.6;11.37;7.39;7.48;
Mikonos;253.0;6.0;10.5;11.40;7.45;7.45;402.9;21.5;22.1;12.64;8.03;7.46;
Mikonos;322.5;4.0;13.0;11.63;7.22;8.09;415.7;14.9;23.5;11.49;7.36;7.72;
Mikonos;302.5;3.5;12.0;12.16;7.26;7.83;300.9;9.0;18.3;11.61;7.12;7.40;
Mikonos;360.5;8.5;12.5;11.97;6.92;7.83;380.6;17.2;19.1;11.01;7.15;7.50;
Mikonos;311.5;3.5;15.0;12.54;7.90;8.40;378.5;12.4;27.7;12.29;7.69;7.59;
Siros;291.5;0.5;19.5;13.68;7.56;8.06;300.2;1.0;25.0;11.63;6.55;7.12;
Siros;310.0;4.5;16.5;14.93;8.09;8.63;429.6;13.3;28.0;12.50;7.51;7.89;
Siros;294.5;3.5;20.0;14.86;8.63;8.36;328.8;17.2;32.8;12.81;7.65;7.58;
Siros;300.5;3.5;15.5;14.48;7.94;8.25;426.5;6.6;23.5;12.44;7.06;7.43;
Siros;291.5;3.0;16.0;14.25;7.83;8.17;307.9;0.7;28.3;12.69;7.19;7.90;
Siros;270.0;1.5;15.5;13.76;7.49;7.94;355.1;3.2;28.4;12.54;7.30;7.88;
Siros;310.5;5.5;17.5;15.12;8.21;8.93;326.0;11.4;26.9;12.18;7.55;8.12;
Siros;317.5;1.5;16.0;13.57;7.87;8.59;355.1;1.4;28.3;12.31;7.41;7.66;
Siros;264.5;3.5;20.0;16.07;8.63;9.01;347.8;8.5;28.5;12.99;7.88;8.07;
Siros;250.0;2.5;18.0;14.29;7.68;8.40;325.3;5.0;26.3;12.35;7.25;8.18;
Siros;290.0;1.5;15.5;14.44;7.90;8.13;351.1;1.7;30.1;12.36;7.10;7.62;
Siros;254.0;5.0;18.5;13.68;7.71;8.09;316.5;3.3;24.4;12.14;6.93;7.21;
Siros;284.5;2.5;19.0;13.41;8.13;8.32;358.0;5.9;33.3;13.05;7.58;7.91;
Siros;210.5;3.0;18.5;14.78;7.94;8.25;310.4;10.0;31.0;13.18;7.27;7.61;
Siros;326.5;6.0;16.5;13.41;7.71;7.83;348.3;8.6;29.4;12.49;7.08;7.55;
Siros;291.5;3.0;19.5;14.63;8.06;8.28;321.7;3.5;30.6;13.01;7.46;7.63;
Siros;306.0;4.5;16.5;13.41;8.13;8.09;357.7;8.3;24.9;12.68;7.63;7.64;
Siros;259.0;5.0;21.5;14.86;8.63;8.89;332.8;10.7;30.9;12.88;7.76;7.75;
Siros;313.0;4.0;25.0;13.87;8.17;8.06;396.8;5.9;35.4;12.80;7.88;7.30;
Siros;318.0;7.5;18.5;14.63;8.28;8.55;334.9;10.4;25.3;11.95;7.40;7.46;
Siros;333.0;6.0;17.0;13.83;8.06;8.13;262.2;3.0;22.2;12.06;7.12;7.44;
