year	date	species	pop	subpop	patch	pollen	stage	ASD	GAD	GSDl	GSDc	GSDr	GW	GHl	GHr	UBL	UBW	LBL	LBW	resincollected	GA	UBA	GSD
2014	13.10.2014	S	S1	S1	B	NA	1	2.26	0.77	NA	3.5	NA	4.75	2.62	2.34	12.22	12.56	13.16	10.91	NA	11.78	153.48	3.5
2014	13.10.2014	S	S1	S1	C	NA	1	4.22	5.35	NA	4.77	NA	6.38	2.72	2.81	16.88	15.89	17.59	15.33	NA	17.64	268.22	4.77
2014	13.10.2014	S	S1	S1	D	NA	1	2.15	6.11	NA	6.13	NA	6.49	3.5	3.45	18.14	17.27	18.17	18.03	NA	22.55	313.28	6.13
2014	13.10.2014	S	S1	S1	D	NA	3	1.87	5.43	NA	6.91	NA	6.98	3.76	3.81	22.13	20.81	22.52	22.07	1	26.42	460.53	6.91
2014	13.10.2014	S	S1	S1	E	NA	1	2.63	6.49	NA	6.89	NA	7.47	3.49	3.71	24.27	23.18	23.28	22.67	NA	26.89	562.58	6.89
2014	13.10.2014	S	S1	S1	E	NA	1	3.4	5.09	NA	5.95	NA	6.86	3.7	3.56	18	17.75	15.89	16	NA	24.9	319.5	5.95
2014	13.10.2014	S	S1	S1	D	NA	1	3.31	5.39	NA	7.31	NA	8.07	4.2	4.28	NA	24.52	24.18	23.55	1	34.22	NA	7.31
2014	27.10.2014	S	S6	S6	6	NA	3	NA	NA	NA	5.66	NA	7.18	3.01	3	21.06	18.32	20.49	18.67	1	21.58	385.82	5.66
2014	27.10.2014	S	S6	S6	13	NA	1	0.3	5.99	NA	6.94	NA	5.37	2.62	2.53	23.44	20.46	24.39	20.63	0	13.83	479.58	6.94
2014	06.11.2014	S	S9	S10	6	40	3	3.9	5.56	NA	4.81	NA	7.4	3.89	3.92	26.26	20.03	26.06	19.04	1	28.9	525.99	4.81
2014	06.11.2014	S	S9	S10	NA	NA	1	3.38	4.64	NA	4.81	NA	7.99	4.01	4.09	23.37	20.99	21.74	19.8	1	32.36	490.54	4.81
2014	06.11.2014	S	S9	S10	NA	NA	1	NA	NA	NA	5.09	NA	7.83	3.87	3.84	24.11	21.67	24.58	23.88	1	30.18	522.46	5.09
2014	06.11.2014	S	S9	S10	NA	NA	3	3.53	5.3	NA	5.48	NA	7.81	3.61	3.48	25.56	24.19	23.14	23.23	1	27.69	618.3	5.48
2014	06.11.2014	S	S8	S8	2	30	2	3.84	4.6	NA	4.6	NA	8.13	4.24	4.22	23.06	21.85	25.52	22.65	1	34.39	503.86	4.6
2014	06.11.2014	S	S8	S8	1	4	1	5.79	7.37	NA	6.22	NA	8.25	3.9	4.21	26.77	24.45	27.31	22.83	1	33.45	654.53	6.22
2014	06.11.2014	S	S8	S8	3	10	1	3.57	3.6	NA	4.7	NA	5.94	2.46	2.47	18.75	16.61	19.18	16.37	1	14.64	311.44	4.7
2014	06.11.2014	S	S8	S8	6	NA	1	3.17	5.87	NA	NA	NA	7.9	3.79	3.67	25.19	24.7	27.13	24.96	0	29.47	622.19	NA
2014	06.11.2014	S	S8	S8	6	NA	1	4.3	5.42	NA	4.27	NA	6.12	3.24	3.39	22.55	21.7	24.06	20.85	0	20.29	489.34	4.27
2014	06.11.2014	S	S8	S8	7	NA	1	4.55	5.41	NA	4.32	NA	6.56	3.06	3.21	22.31	22.22	25.62	22.93	1	20.57	495.73	4.32
2014	06.11.2014	S	S8	S8	7	NA	1	5.36	4.58	NA	5.02	NA	7.38	3.21	3.12	24.04	23.3	26.47	25.47	1	23.36	560.13	5.02
2014	06.11.2014	S	S9	S10	Stubbe	NA	1	3.08	7.22	NA	6.23	NA	7.07	3.26	3.36	19.75	19.97	19.62	19.46	1	23.4	394.41	6.23
2014	07.11.2014	S	S9	S10	NA	NA	1	3.29	5.16	NA	5.42	NA	7.01	3.07	3.12	21.71	20.88	21.57	20.97	0	21.7	453.3	5.42
2014	07.11.2014	S	S9	S10	NA	NA	3	3.18	4.56	NA	5.2	NA	7.65	3.54	3.64	27.3	24.77	28.15	24.15	1	27.46	676.22	5.2
2014	08.11.2014	S	S8	S8	17	NA	1	4.55	5.64	NA	4.67	NA	6.99	3.23	3.18	16.89	17.53	17.88	16.87	NA	22.4	296.08	4.67
2014	08.11.2014	S	S8	S8	5	NA	1	4.77	3.85	NA	4.82	NA	6.77	3	2.98	18.57	18.26	17.86	17.15	NA	20.24	339.09	4.82
2014	09.11.2014	S	68	68	NA	NA	1	1.67	2.84	NA	5.32	NA	6.69	3.38	3.19	14.58	15.9	16.56	16.85	NA	21.98	231.82	5.32
2014	09.11.2014	S	68	68	NA	NA	1	3.47	3.26	NA	6.94	NA	7.17	3.86	3.76	20.43	20.33	23.06	21.74	NA	27.32	415.34	6.94
2014	09.11.2014	S	68	68	NA	NA	1	3.11	5.08	NA	4.93	NA	6.31	3.4	3.58	17	17.22	17.81	18.31	NA	22.02	292.74	4.93
2014	14.11.2014	S	S8	S8	7	NA	1	4.7	5.16	NA	4.75	NA	7.49	3.48	3.48	16.85	18.31	19.21	20.62	NA	26.07	308.52	4.75
2014	17.11.2014	S	S11	S11	NA	NA	5	NA	NA	NA	NA	NA	5.64	3	2.72	16.94	18.03	19.21	18.81	NA	16.13	305.43	NA
2014	17.11.2014	S	S11	S11	NA	NA	8	NA	NA	NA	NA	NA	5.83	2.81	2.6	24.97	22.6	23.77	21.67	NA	15.77	564.32	NA
2014	17.11.2014	S	S11	S11	NA	NA	4	NA	NA	NA	3.98	NA	6.05	2.89	2.81	19.97	18.78	21.41	17.96	NA	17.24	375.04	3.98
2014	17.11.2014	S	S12	S12	NA	NA	1	2.31	3.58	NA	4.99	NA	7.04	3.35	3.65	14.48	15.69	15.54	16.34	NA	24.64	227.19	4.99
2014	17.11.2014	S	S12	S12	NA	NA	1	3.17	3.29	NA	4.78	NA	6.9	2.88	3.23	13.78	15.22	13.35	15.44	NA	21.08	209.73	4.78
