Pop	Patch	Blossom	Seed	ID	GHblossom	Date	ASD	GAD	MF	GSDl	GSDc	GSDr	GW	GHl	GHr	SWl	SWc	SWr	SLl	SLc	SLr	UBL	UBW	LBL	LBW
S1	14	1	c	S1.14.1.c	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
S1	14	1	c	S1.14.1.c	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
S1	14	1	e	S1.14.1.e	1	19.01.2016	2.26	4.64	10	4.27	5.06	3.97	4.76	2.01	2.10	1.66	1.96	1.71	4.57	4.72	5.10	17.37	15.81	18.33	16.60
S1	14	1	e	S1.14.1.e	2	22.01.2016	2.45	4.36	10	3.85	3.43	3.59	5.34	2.34	2.25	1.75	1.57	1.49	5.32	5.38	4.96	19.68	18.12	20.57	17.64
S1	14	1	e	S1.14.1.e	3	23.01.2016	2.96	5.67	10	4.14	4.69	4.21	5.79	2.63	3.17	1.81	2.06	1.90	5.22	5.74	5.94	24.27	21.67	26.20	20.84
S1	14	1	f	S1.14.1.f	1	06.01.2016	4.37	5.75	10	5.82	6.62	5.71	6.68	3.81	4.06	1.74	1.82	1.90	8.18	8.54	7.64	23.56	18.97	24.41	19.43
S1	14	1	f	S1.14.1.f	2	09.02.2016	1.89	2.97	10	4.55	5.56	4.43	5.55	2.23	2.36	1.41	1.46	1.34	6.09	6.73	5.97	18.43	15.05	18.99	14.79
S1	19	a	b	S1.19.a.b	1	21.01.2016	2.34	7.12	10	6.49	7.00	6.53	5.81	2.99	3.18	1.35	1.61	1.36	7.50	7.54	7.50	25.71	21.65	28.01	22.33
S1	19	a	b	S1.19.a.b	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
S1	19	a	d	S1.19.a.d	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
S1	19	a	d	S1.19.a.d	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
S1	19	b	b	S1.19.b.b	1	17.02.2016	2.23	6.25	10	5.61	6.22	4.96	5.42	2.63	2.58	1.29	1.50	1.49	6.47	6.43	6.70	20.95	18.10	20.73	17.36
S1	19	b	b	S1.19.b.b	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
S1	19	b	d	S1.19.b.d	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
S1	19	b	d	S1.19.b.d	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
S1	X1	a	a	S1.X1.a.a	1	19.01.2016	0.69	6.23	10	7.13	7.40	7.04	6.74	3.39	3.04	1.86	1.90	1.68	9.26	9.09	9.18	24.24	21.74	24.71	22.24
S1	X1	a	a	S1.X1.a.a	2	03.02.2016	0.90	6.33	10	7.15	6.42	6.70	6.07	3.09	3.11	1.56	1.94	1.51	8.72	8.76	9.04	23.11	20.25	24.73	21.00
S1	X1	a	a	S1.X1.a.a	3	08.02.2016	1.83	6.29	10	7.03	7.62	7.17	5.71	2.89	2.94	1.43	1.91	1.58	8.62	8.89	8.53	25.65	21.37	28.50	23.66
S1	X1	a	f	S1.X1.a.f	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
S1	X1	a	f	S1.X1.a.f	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
S1	X1	b	a	S1.X1.b.a	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
S1	X1	b	a	S1.X1.b.a	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
S2	1	1	b	S2.1.1.b	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
