population	pop	plant	seed	flower	measdate	Shootthickness	Stemthickness	GAD	ASD	Adepth	Awidth	GSDR	GSDC	GSDL	nMalesR	nMalesC	nMalesL	GWTot	GHR	GHL	GNR	GNL	SWR	SWC	SWL	SLR	Srrs	SLC	Scrs	SLL	Slrs	UBR	UBC	UBL	UBW	LBR	LBC	LBL	LBW																																																																																																																																																																																																																							
BA	Bacalar	1	1	1	08.12.2008	NA	NA	4.93	2.12	1.14	2.54	4.29	5.05	4.74	3	3	3	8.87	4.57	4.86	16	15	1.97	2.29	2.07	8.65	3.81	9.03	3.66	8.7	3.42	22.5	27.09	25.29	29.33	23.2	27.09	23.62	27.1																																																																																																																																																																																																																							
BA	Bacalar	1	1	2	10.12.2008	NA	NA	4.8	2.39	0.77	2.16	4.12	4.58	3.33	3	3	3	8.45	4.51	4.18	18	16	1.66	1.76	1.86	7.51	3.36	7.97	3.1	8.16	3.46	22.79	24.51	21.82	24.63	21.43	25.06	21.69	23.46																																																																																																																																																																																																																							
BA	Bacalar	1	2	2	01.04.2009	NA	NA	4.63	2.5	0.89	2.14	3.26	5.03	4.35	3	3	3	6.79	3.4	3.54	12	14	1.89	2.2	1.83	7.66	3.03	7.61	2.98	7.87	2.98	18.1	21.27	18.31	21.65	21.02	22.31	20.4	23.05																																																																																																																																																																																																																							
BA	Bacalar	1	2	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA																																																																																																																																																																																																																							
BA	Bacalar	2	1	2	08.12.2008	NA	NA	6.25	2.48	1.01	2.32	4.79	5.86	5.41	3	3	3	7.93	3.77	3.83	23	22	1.38	1.5	1.46	7.94	3.16	8.62	3.48	8.61	3.79	20.5	22.9	20.78	21.55	20.16	23.35	20.77	22.04																																																																																																																																																																																																																							
BA	Bacalar	2	1	1	30.10.2008	NA	NA	7.71	5.26	0.97	2.3	4.79	6.53	5.53	4	3	3	9.05	4.05	4.31	21	24	1.8	1.96	1.8	8.84	4.16	9.15	3.85	9.08	4.16	24.68	27.63	24.74	27.55	23.7	26.94	23.14	26.92																																																																																																																																																																																																																							
BA	Bacalar	2	2	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA																																																																																																																																																																																																																							
BA	Bacalar	2	2	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA																																																																																																																																																																																																																							
BA	Bacalar	2	3	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA																																																																																																																																																																																																																							
BA	Bacalar	2	3	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA																																																																																																																																																																																																																							
