ind,block,dam,sire,germination,male fl,measdate,bloss,GAD,ASD,GSDl,GSDc,GSDr,mfl,mfc,mfr,GWl,GWr,Gwtot,GHl,GHr,GNl,GNr,SWl,SWc,SWr,SLl,SLc,SLr,UBL,UBC,UBR,UBW,LBL,LBC,LBR,LBW,
70001,1,40117,40026,2/25/2005,1,6/14/2005,1,2.93,0.00,5.17,5.37,3.81,3,3,3,3.28,3.46,6.32,2.78,2.79,10,11,1.15,1.09,1.06,,,,14.46,16.20,14.25,17.63,15.41,18.16,16.12,18.11,
70001,1,40117,40026,2/25/2005,1,6/4/2006,2,3.65,0.19,4.36,4.87,4.05,3,3,3,3.16,3.58,6.07,2.31,2.97,11,11,0.99,1.07,0.95,6.51,6.43,6.60,13.73,15.58,13.70,17.47,14.11,16.45,14.67,16.23,
70002,2,40131,40131,2/25/2005,1,6/3/2006,1,2.33,2.81,7.29,7.47,6.42,3,3,3,3.40,3.40,6.31,2.54,2.51,8,9,1.20,1.14,1.10,8.67,8.42,8.81,17.71,20.88,17.39,20.54,22.75,26.01,21.36,21.52,
70002,2,40131,40131,2/25/2005,1,6/10/2006,2,2.84,2.41,7.79,7.47,8.18,3,3,3,3.26,3.63,6.36,2.72,2.85,9,10,1.18,1.29,1.25,9.28,9.40,9.42,17.82,20.84,17.49,20.06,19.77,22.71,19.82,20.05,
70003,2,40131,40131,2/25/2005,1,12/20/2005,1,3.13,1.78,6.63,7.06,6.63,3,3,3,2.50,2.44,4.82,2.33,2.13,7,7,1.02,0.95,0.94,7.93,7.99,8.07,16.81,19.09,16.11,16.45,18.62,22.27,18.72,16.09,
70003,2,40131,40131,2/25/2005,1,6/19/2006,2,2.73,1.24,5.93,6.50,6.58,3,2,3,2.48,2.75,4.55,1.45,1.88,4,6,0.66,0.74,0.85,7.64,7.42,7.53,15.33,16.39,14.92,15.10,16.32,19.10,17.17,16.10,
70004,4,40075,40103,2/25/2005,1,8/3/2005,1,3.43,0.00,5.48,5.85,5.11,3,3,3,4.01,3.39,6.75,3.14,2.88,13,10,1.15,1.07,1.19,,,,15.07,18.46,16.29,20.77,16.99,20.33,18.48,21.97,
70004,4,40075,40103,2/25/2005,1,1/9/2006,2,3.80,0.00,6.29,5.69,5.54,3,3,3,3.55,3.95,7.09,3.13,3.36,9,9,1.26,1.27,1.22,10.32,10.12,10.23,18.05,20.37,17.55,21.45,20.60,24.16,20.03,21.10,
70005,4,40075,40103,2/25/2005,1,6/17/2005,1,3.65,0.41,5.19,6.09,7.22,3,3,3,3.67,4.09,7.37,3.04,3.00,9,10,1.23,1.30,1.22,,,,20.01,22.26,18.78,23.21,21.15,24.78,20.78,25.29,
70005,4,40075,40103,2/25/2005,1,12/19/2005,2,3.87,0.29,6.40,6.46,5.35,3,3,3,3.74,3.63,6.89,2.88,3.11,11,13,1.20,1.14,1.13,10.00,9.51,9.43,18.10,21.05,18.27,20.96,20.60,24.69,19.83,20.82,
70006,7,40124,40124,2/25/2005,1,6/8/2005,1,3.02,0.00,4.88,4.92,4.76,3,3,3,3.38,3.05,5.81,2.29,2.50,9,9,1.11,1.08,1.00,,,,14.66,16.32,14.59,17.75,16.08,18.17,16.14,17.85,
70006,7,40124,40124,2/25/2005,1,1/3/2006,2,2.89,0.00,3.68,5.42,4.63,3,3,3,3.74,3.46,6.79,2.78,2.80,9,9,1.13,1.22,1.19,6.96,7.90,7.96,18.78,21.11,18.78,21.51,21.76,24.06,22.10,23.26,
70007,9,40109,40118,2/25/2005,1,8/3/2005,1,3.14,0.00,4.72,5.33,4.69,3,3,3,4.14,3.28,6.71,2.61,2.70,11,9,1.04,1.05,1.13,,,,17.83,20.83,17.63,18.96,19.78,22.25,19.52,21.79,
70007,9,40109,40118,2/25/2005,1,12/19/2005,2,2.92,0.67,5.53,5.18,4.49,3,3,3,3.54,3.23,6.64,2.73,2.55,9,11,1.30,1.23,1.23,8.47,8.40,8.52,18.29,22.32,19.39,22.02,21.05,24.69,20.69,21.41,
70009,4,40103,40114,2/25/2005,1,5/24/2006,1,3.11,0.00,6.28,5.82,5.50,3,3,3,3.78,4.02,7.21,2.75,3.19,10,12,1.34,1.24,1.25,9.68,9.79,10.08,16.49,20.08,16.73,21.05,17.94,21.82,18.02,20.45,
70009,4,40103,40114,2/25/2005,1,6/8/2006,2,2.99,0.00,5.13,5.72,5.09,3,3,3,3.78,3.85,7.23,2.74,3.01,10,12,1.28,1.29,1.33,9.06,8.73,8.96,16.30,18.07,15.84,19.23,17.39,20.16,17.36,19.54,
70010,9,40118,40025,2/25/2005,2,6/16/2006,1,2.01,0.00,4.23,4.09,3.50,3,3,3,3.92,3.26,6.08,1.92,1.91,8,6,1.32,1.31,1.25,8.36,8.30,8.48,16.84,19.96,16.76,20.51,18.76,22.09,18.79,20.62,
70010,9,40118,40025,2/25/2005,1,6/20/2006,2,2.77,0.00,4.79,5.47,5.07,3,3,3,3.52,3.54,6.46,2.82,2.85,12,11,1.10,1.19,0.98,7.71,7.59,7.53,15.46,17.67,15.68,19.53,18.32,20.57,17.97,20.62,
70011,9,40118,40025,2/25/2005,1,8/23/2005,1,2.90,1.19,5.12,6.07,5.51,3,3,3,3.47,3.86,6.73,2.63,2.67,9,9,1.01,1.04,1.04,,,,17.08,18.95,17.05,20.36,18.36,21.67,18.00,20.93,
70011,9,40118,40025,2/25/2005,1,12/20/2005,2,3.93,0.56,6.85,7.30,6.57,3,3,3,3.64,2.71,6.21,2.63,2.15,9,9,1.15,1.12,1.17,8.93,8.12,8.86,16.36,19.20,16.82,20.64,18.30,21.56,18.27,21.89,
70012,1,40026,40117,2/25/2005,1,6/14/2005,1,2.96,4.98,4.98,4.99,4.55,3,3,3,3.34,3.25,6.51,2.67,2.87,10,13,1.08,1.13,1.09,,,,14.88,16.68,15.54,17.86,16.46,18.96,17.15,19.35,
70012,1,40026,40117,2/25/2005,1,8/3/2005,2,3.51,0.00,4.99,4.67,3.55,3,3,3,3.95,3.76,7.03,2.69,3.14,10,12,1.27,1.27,1.22,,,,15.38,17.54,15.65,19.29,17.10,20.40,17.97,19.98,
70014,4,40153,40153,2/25/2005,1,6/3/2006,1,2.57,2.45,6.50,7.05,4.69,3,3,3,4.76,3.38,7.14,2.92,2.60,10,9,1.19,1.25,1.31,8.91,8.85,8.84,19.48,21.95,19.02,21.35,22.34,26.42,21.15,22.32,
70014,4,40153,40153,2/25/2005,1,6/10/2006,2,2.56,2.21,6.46,7.21,5.40,3,3,3,4.09,4.64,7.79,2.92,3.01,10,10,1.33,1.27,1.36,9.14,9.81,9.18,16.40,20.54,18.54,22.47,19.77,22.85,20.16,22.45,
70015,5,40065,40090,2/25/2005,1,6/5/2006,1,3.20,0.00,5.68,6.02,5.29,3,3,3,3.90,3.54,6.93,2.83,2.93,10,9,1.20,1.15,1.23,9.73,9.71,10.21,18.27,21.76,16.86,21.86,19.17,22.83,19.30,21.87,
