Code,Origin,Collected,Potted,Mother,
40001,Merida,Liv,1999,23.02.99,MER053
40002,Merida,Liv,1999,23.02.99,MER054
40003,Merida,Liv,1999,25.02.99,MER001
40004,Merida,Liv,1999,25.02.99,MER002
40005,Merida,Liv,1999,25.02.99,MER034
40006,Merida,Liv,1999,25.02.99,MER011
40007,Merida,Liv,1999,25.02.99,MER040
40008,Merida,Liv,1999,25.02.99,MER045
40009,Merida,Liv,1999,25.02.99,MER046
40010,Merida,Liv,1999,25.02.99,MER007
40011,Merida,Liv,1999,25.02.99,MER028
40012,Merida,Liv,1999,25.02.99,MER001
40013,Merida,Liv,1999,25.02.99,MER023
40014,Merida,Liv,1999,01.03.99,MER029
40015,Merida,Liv,1999,01.03.99,MER053
40016,Merida,Liv,1999,01.03.99,MER042
40017,Merida,Liv,1999,01.03.99,MER032
40018,Merida,Liv,1999,01.03.99,MER112
40019,Merida,Liv,1999,01.03.99,MER068
40020,Merida,Liv,1999,02.03.99,MER007
40021,Merida,Liv,1999,02.03.99,MER021
40022,Merida,Liv,1999,02.03.99,MER120
40023,Merida,Liv,1999,02.03.99,MER080
40024,Merida,Liv,1999,02.03.99,MER123
40025,Merida,Liv,1999,02.03.99,MER096
40026,Merida,Liv,1999,02.03.99,MER112
40027,Merida,Liv,1999,02.03.99,MER062
40028,Merida,Liv,1999,02.03.99,MER108
40029,Merida,Liv,1999,02.03.99,MER114
40030,Merida,Liv,1999,03.03.99,MER050
40032,Merida,Liv,1999,03.03.99,MER101
40033,Merida,Liv,1999,08.03.99,MER082
40034,Merida,Liv,1999,08.03.99,MER074
40036,Merida,Liv,1999,08.03.99,MER094
40037,Merida,Liv,1999,08.03.99,MER094
40038,Merida,Liv,1999,08.03.99,MER089
40039,Merida,Liv,1999,08.03.99,MER115
40040,Merida,Liv,1999,08.03.99,MER082
40041,Merida,Liv,1999,08.03.99,MER113
40042,Merida,Liv,1999,08.03.99,MER091
40043,Merida,Liv,1999,08.03.99,MER066
40044,Merida,Liv,1999,08.03.99,MER114
40046,Merida,Liv,1999,08.03.99,MER074
40047,Merida,Liv,1999,08.03.99,MER087
40048,Merida,Liv,1999,08.03.99,MER113
40049,Merida,Liv,1999,08.03.99,MER116
40050,Merida,Liv,1999,08.03.99,MER096
40051,Merida,Liv,1999,08.03.99,MER083
40052,Merida,Liv,1999,08.03.99,MER071
40053,Merida,Liv,1999,08.03.99,MER122
40054,Merida,Liv,1999,08.03.99,MER062
40055,Merida,Liv,1999,08.03.99,MER069
40056,Merida,Liv,1999,08.03.99,MER075
40057,Merida,Liv,1999,08.03.99,MER092
40058,Merida,Liv,1999,08.03.99,MER122
40059,Merida,Liv,1999,08.03.99,MER109
40060,Merida,Liv,1999,08.03.99,MER108
40061,Merida,Liv,1999,08.03.99,MER117
40062,Merida,Liv,1999,08.03.99,MER062
40063,Merida,Liv,1999,08.03.99,MER064
40064,Merida,Liv,1999,08.03.99,MER086
40065,Merida,Liv,1999,08.03.99,MER106
40066,Merida,Liv,1999,08.03.99,MER118
40067,Merida,Liv,1999,08.03.99,MER111
40068,Merida,Liv,1999,08.03.99,MER073
40069,Merida,Liv,1999,08.03.99,MER091
40070,Merida,Liv,1999,08.03.99,MER118
40071,Merida,Liv,1999,08.03.99,MER111
40072,Merida,Liv,1999,08.03.99,MER084
40073,Merida,Liv,1999,08.03.99,MER088
40074,Merida,Liv,1999,08.03.99,MER080
40075,Merida,Liv,1999,08.03.99,MER063
40076,Merida,Liv,1999,08.03.99,MER093
40077,Merida,Liv,1999,08.03.99,MER065
40078,Merida,Liv,1999,08.03.99,MER068
40079,Merida,Liv,1999,08.03.99,MER092
40080,Merida,Liv,1999,08.03.99,MER065
40081,Merida,Liv,1999,08.03.99,MER086
40082,Merida,Liv,1999,08.03.99,MER105
40083,Merida,Liv,1999,08.03.99,MER119
40084,Merida,Liv,1999,08.03.99,MER072
40085,Merida,Liv,1999,08.03.99,MER085
40086,Merida,Liv,1999,08.03.99,MER061
40087,Merida,Liv,1999,08.03.99,MER079
40088,Merida,Liv,1999,08.03.99,MER070
40089,Merida,Liv,1999,08.03.99,MER098
40090,Merida,Liv,1999,08.03.99,MER001
40091,Merida,Liv,1999,08.03.99,MER003
40092,Merida,Liv,1999,08.03.99,MER011
40093,Merida,Liv,1999,08.03.99,MER015
40094,Merida,Liv,1999,08.03.99,MER031
40095,Merida,Liv,1999,08.03.99,MER012
40096,Merida,Liv,1999,08.03.99,MER036
40097,Merida,Liv,1999,08.03.99,MER057
40098,Merida,Liv,1999,08.03.99,MER013
40099,Merida,Liv,1999,08.03.99,MER007
40100,Merida,Liv,1999,08.03.99,MER022
40101,Merida,Liv,1999,08.03.99,MER047
40102,Merida,Liv,1999,08.03.99,MER025
40103,Merida,Liv,1999,08.03.99,MER018
40104,Merida,Liv,1999,08.03.99,MER016
40105,Merida,Liv,1999,08.03.99,MER054
40106,Merida,Liv,1999,08.03.99,MER006
40107,Merida,Liv,1999,08.03.99,MER017
40108,Merida,Liv,1999,08.03.99,MER043
40109,Merida,Liv,1999,08.03.99,MER049
40110,Merida,Liv,1999,08.03.99,MER025
40111,Merida,Liv,1999,10.03.99,MER093
40112,Merida,Liv,1999,10.03.99,MER070
40113,Merida,Liv,1999,10.03.99,MER064
40114,Merida,Liv,1999,10.03.99,MER084
40115,Merida,Liv,1999,10.03.99,MER089
40116,Merida,Liv,1999,10.03.99,MER117
40117,Merida,Liv,1999,10.03.99,MER014
40118,Merida,Liv,1999,10.03.99,MER031
40119,Merida,Liv,1999,10.03.99,MER008
40120,Merida,Liv,1999,11.03.99,MER002
40121,Merida,Liv,1999,11.03.99,MER012
40122,Merida,Liv,1999,12.03.99,MER014
40123,Merida,Liv,1999,12.03.99,MER030
40124,Merida,Liv,1999,12.03.99,MER045
40125,Merida,Liv,1999,12.03.99,MER050
40126,Merida,Liv,1999,12.03.99,MER081
40127,Merida,Liv,1999,15.03.99,MER020
40128,Merida,Liv,1999,15.03.99,MER013
40129,Merida,Liv,1999,15.03.99,MER034
40130,Merida,Liv,1999,15.03.99,MER027
40131,Merida,Liv,1999,15.03.99,MER030
40132,Merida,Liv,1999,15.03.99,MER051
40133,Merida,Liv,1999,15.03.99,MER052
40134,Merida,Liv,1999,15.03.99,MER026
40135,Merida,Liv,1999,15.03.99,MER059
40136,Merida,Liv,1999,15.03.99,MER038
40137,Merida,Liv,1999,15.03.99,MER020
40138,Merida,Liv,1999,15.03.99,MER059
40139,Merida,Liv,1999,15.03.99,MER116
40140,Merida,Liv,1999,15.03.99,MER121
40141,Merida,Liv,1999,15.03.99,MER087
40142,Merida,Liv,1999,15.03.99,MER090
40143,Merida,Liv,1999,15.03.99,MER085
40144,Merida,Liv,1999,15.03.99,MER110
40145,Merida,Liv,1999,15.03.99,MER071
40146,Merida,Liv,1999,15.03.99,MER067
40147,Merida,Liv,1999,15.03.99,MER123
40148,Merida,Liv,1999,15.03.99,MER103
40149,Merida,Liv,1999,15.03.99,MER069
40150,Merida,Liv,1999,16.03.99,MER097
40151,Merida,Liv,1999,16.03.99,MER099
40152,Merida,Liv,1999,22.03.99,MER077
