animal,dam,sire
10,NA,NA
11,NA,NA
12,NA,NA
13,NA,NA
14,NA,NA
15,NA,NA
19,NA,NA
20,NA,NA
2,NA,NA
21,NA,NA
23,NA,NA
24,NA,NA
25,NA,NA
26,NA,NA
27,NA,NA
28,NA,NA
3,NA,NA
31,NA,NA
33,NA,NA
34,NA,NA
36,NA,NA
38,NA,NA
39,NA,NA
4,NA,NA
41,NA,NA
44,NA,NA
45,NA,NA
46,NA,NA
47,NA,NA
48,NA,NA
5,NA,NA
51,NA,NA
52,NA,NA
55,NA,NA
56,NA,NA
57,NA,NA
58,NA,NA
59,NA,NA
6,NA,NA
61,NA,NA
62,NA,NA
63,NA,NA
65,NA,NA
66,NA,NA
68,NA,NA
69,NA,NA
70,NA,NA
7,NA,NA
71,NA,NA
72,NA,NA
73,NA,NA
74,NA,NA
75,NA,NA
76,NA,NA
78,NA,NA
80,NA,NA
8,NA,NA
81,NA,NA
82,NA,NA
83,NA,NA
84,NA,NA
9,NA,NA
10.10.052,10,NA
10.10.095,10,NA
11.10.143,11,NA
11.10.150,11,NA
12.10.167,12,NA
13.10.169,13,NA
13.10.170,13,NA
14.10.054,14,NA
15.10.007,15,NA
19.10.172,19,NA
20.10.173,20,NA
2.10.018,2,NA
21.10.175,21,NA
23.10.101,23,NA
23.10.188,23,NA
24.10.077,24,NA
25.10.081,25,NA
26.10.103,26,NA
27.10.181,27,NA
28.10.183,28,NA
3.10.116,3,NA
3.10.117,20,NA
31.10.107,31,NA
33.10.083,33,NA
34.10.109,34,NA
36.10.112,36,NA
38.10.185,38,NA
39.10.187,39,NA
4.10.051,4,NA
4.10.163,4,NA
41.10.020,41,NA
44.10.118,44,NA
45.10.119,45,NA
46.10.121,46,NA
47.10.137,47,NA
48.10.064,48,NA
5.10.149,5,NA
5.10.207,5,NA
51.10.044,51,NA
51.10.209,51,NA
52.10.006,52,NA
52.10.026,52,NA
55.10.002,55,NA
56.10.191,56,NA
57.10.028,57,NA
58.10.029,58,NA
59.10.030,59,NA
6.10.069,6,NA
61.10.125,61,NA
61.10.204,61,NA
62.10.127,62,NA
62.10.218,62,NA
63.10.161,63,NA
65.10.131,65,NA
66.10.162,66,NA
68.10.089,68,NA
68.10.089 ,68,NA
68.10.090,68,NA
69.10.034,69,NA
70.10.139,70,NA
7.10.061,7,NA
71.10.196,71,NA
72.10.141,72,NA
73.10.037,73,NA
74.10.046,74,NA
75.10.038,75,NA
76.10.197,76,NA
