ind.,germ. Date,Dam ,sire,famdam,inddam,famsire,indsire,diallel block,stage,flower,meas date,date,GSDL,GSDC,GSDR,GAD,ASD,GWL,GWR,GWTot,GHL,GHR,SWL,SWC,SWR,UBL,UBC,UBR,UBW,LBL,LBC,LBR,LBW,nbre stam fl,st. fl. C,st. fl. R.,color,Self 0=no/1=yes,Cot1,Cot2,age(days),rem
51001,8/22/1999,74.10.046,72.10.141,74,10046,72,10141,10,1,1,3/14/2000,108,4.31,4.04,2.89,4.49,5.81,3.23,3.61,6.64,2.86,3.06,1.15,1.28,1.17,16.07,17.81,16.12,18.06,15.83,20.16,15.74,18.06,3,3,3,2,0,10.58,10.5,6,
51001,8/22/1999,74.10.046,72.10.141,74,10046,72,10141,10,1,2,3/28/2000,122,3.63,4.03,3.53,4.6,4.33,3.36,3.66,6.62,3.12,3.29,1.26,1.31,1.27,16.91,18.49,16.38,19.31,16.36,18.85,16.24,18.59,3,3,3,1,0,,,,
51002,8/22/1999,78.10.200,10.10.052,78,10200,10,10052,12,1,1,3/1/2000,95,3.83,5.16,4.72,4.86,2.41,3.44,4.11,7.06,3.31,3.09,1.5,1.48,1.42,17.62,18.75,17.88,19.59,18.41,20.91,17.18,19.57,0,3,3,1,0,11.49,11.86,7,
51002,8/22/1999,78.10.200,10.10.052,78,10200,10,10052,12,1,2,3/20/2000,114,4.56,4.97,3.79,5.13,3.79,3.51,3.34,6.19,2.97,2.82,1.41,1.44,1.44,17.17,19.22,15.78,20.84,17.56,19.53,17.91,20.16,3,3,3,1,0,,,,
51003,8/22/1999,2.10.018,82.10.133,2,10018,82,10133,4,1,1,2/1/2000,66,3.86,5.16,3.61,4.43,3.93,3.57,3.78,6.73,2.59,2.83,1.28,1.36,1.46,15.28,17.37,14.69,15.51,14.5,17.8,14.3,15.88,2,3,2,2,0,9.41,9.57,6,
51003,8/22/1999,2.10.018,82.10.133,2,10018,82,10133,4,2,2,2/1/2000,66,3.45,4.68,3.57,4.87,3.69,3.56,3.78,6.38,2.9,2.92,1.28,1.52,1.36,15.53,19.33,15.99,17.09,15.65,20.18,15.73,17.27,2,3,2,4,0,,,,
51004,8/22/1999,48.10.064,11.10.143,48,10064,11,10143,12,1,1,2/6/2000,71,3.26,4.04,3.2,4.66,3.31,2.97,2.9,5.8,2.36,2.3,1.38,1.37,1.46,16.17,18.3,15.93,19.87,15.51,18.65,14.78,16.73,3,2,3,3,0,10.61,10.38,6,
51004,8/22/1999,48.10.064,11.10.143,48,10064,11,10143,12,1,2,2/18/2000,83,4.39,5.46,3.7,5.1,5.74,3.9,3.28,6.85,3.26,2.96,1.66,1.72,1.64,18.36,23.22,18.87,24.36,22.37,26.86,22.35,26.86,3,3,3,5,0,,,,
51005,8/22/1999,48.10.064,10.10.052,48,10064,10,10052,12,1,1,2/29/2000,94,4.8,5.3,5.02,4.11,2.99,4.71,3.63,7.68,3.47,3.49,1.64,1.66,1.61,15.96,18.5,16.91,21.88,18.29,22.75,18.7,22.89,3,3,3,3,0,11.65,11.19,6,
51005,8/22/1999,48.10.064,10.10.052,48,10064,10,10052,12,3,2,3/1/2000,95,5.77,5.94,4.54,4.25,4.63,4.07,3.96,7.97,3.48,3.78,1.76,1.84,1.87,18.36,22.58,20.51,24.91,20.39,25.87,20.91,24.95,3,3,3,3,0,,,,
