study_ID;species;trait;environment;npop;d;mean;d_se;species_trait;maxdist;tg1;tg2;ms;dimension;evals
Andersson_1997_Nigella_degenii_greenhouse;Nigella_degenii;leaf_length;greenhouse;2;0,0488401146603029;15,87;0,0345351762702287;Nigella_degenii_leaf_length;37,423;vegetative;leaf_size;M;linear;1,667
Andersson_1997_Nigella_degenii_greenhouse;Nigella_degenii;nectary_length;greenhouse;2;0,00473266119672066;7,715;0,00334649682525962;Nigella_degenii_nectary_length;37,423;floral;female;M;linear;0,2685
Andersson_1997_Nigella_degenii_greenhouse;Nigella_degenii;peduncle_length;greenhouse;2;0,0114165928294643;1,525;0,00807275020775989;Nigella_degenii_peduncle_length;37,423;floral;peduncle;M;linear;18,6965
Andersson_1997_Nigella_degenii_greenhouse;Nigella_degenii;plant_height;greenhouse;2;0,0126853410468899;314,95;0,0089698906759199;Nigella_degenii_plant_height;37,423;vegetative;plant_size;M;linear;2,714
Andersson_1997_Nigella_degenii_greenhouse;Nigella_degenii;sepal_length;greenhouse;2;0,0132329206527348;13,245;0,00935708792845231;Nigella_degenii_sepal_length;37,423;floral;flowersize;M;linear;0,192
Andersson_1997_Nigella_degenii_greenhouse;Nigella_degenii;stamen_length;greenhouse;2;0,000807048379415618;8,215;0,000570669381830397;Nigella_degenii_stamen_length;37,423;floral;fit;M;linear;0,176
Andersson_Crepis_Crepis_tectorum_greenhouse;Crepis_tectorum;leaf_length;greenhouse;54;0,0169426784793468;83,1611111111111;0,00320186527140555;Crepis_tectorum_leaf_length;2500;vegetative;leaf_size;O;linear;0,581
Andersson_Crepis_Crepis_tectorum_greenhouse;Crepis_tectorum;maximum_leaf_width;greenhouse;54;0,0387779760564484;17,9018518518519;0,00732834864226997;Crepis_tectorum_maximum_leaf_width;2500;vegetative;leaf_size;O;linear;0,628
Andersson_Crepis_Crepis_tectorum_greenhouse;Crepis_tectorum;minimum_leaf_width;greenhouse;54;0,491402123535293;3,7162962962963;0,092866272328816;Crepis_tectorum_minimum_leaf_width;2500;vegetative;leaf_size;O;linear;13
Andersson_Crepis_Crepis_tectorum_greenhouse;Crepis_tectorum;number_of_teeth;greenhouse;54;0,0732050854917615;19,3603703703704;0,0138344607797445;Crepis_tectorum_number_of_teeth;2500;vegetative;leaf_shape;O;count;0,736
Andersson_Crepis_Crepis_tectorum_greenhouse;Crepis_tectorum;tip_distance;greenhouse;54;0,0271943944337659;29,9268518518519;0,0051392574804817;Crepis_tectorum_tip_distance;2500;vegetative;leaf_size;O;linear;0,655
Barrett_&_Shore_1987_Turnera_ulmifolia_greenhouse;Turnera_ulmifolia;flower_diameter;greenhouse;10;0,00603770434788546;42,92;0,00246488247835047;Turnera_ulmifolia_flower_diameter;188;floral;flowersize;S;linear;0,389
Barrett_&_Shore_1987_Turnera_ulmifolia_greenhouse;Turnera_ulmifolia;organ_size;greenhouse;10;2,28121887159578;2,75;0,931303704502881;Turnera_ulmifolia_organ_size;188;floral;herkogamy;S;NA;0,497
Barrett_&_Shore_1987_Turnera_ulmifolia_greenhouse;Turnera_ulmifolia;stamen_length;greenhouse;10;0,0126106762485522;18,24;0,00514828702006468;Turnera_ulmifolia_stamen_length;188;floral;fit;S;linear;0,232
Barrett_&_Shore_1987_Turnera_ulmifolia_greenhouse;Turnera_ulmifolia;style_length;greenhouse;10;0,00966225092149087;20,99;0,00394459742073153;Turnera_ulmifolia_style_length;188;floral;fit;S;linear;0,291
Bartkowska_et_al._2018_Aquilegia_canadensis_field;Aquilegia_canadensis;mean_magnitude;field;7;0,0192496083389227;3,35;0,00907435239442493;Aquilegia_canadensis_mean_magnitude;3,802;floral;herkogamy;M;linear;11,402
Bartkowska_et_al._2018_Aquilegia_canadensis_field;Aquilegia_canadensis;pistil_length;field;7;0,000885155179935799;19,7671428571429;0,000417266153423335;Aquilegia_canadensis_pistil_length;3,802;floral;fit;M;linear;0,44
Bartkowska_et_al._2018_Aquilegia_canadensis_field;Aquilegia_canadensis;sepal_length;field;7;0,000846653491972349;15,1014285714286;0,000399116283659279;Aquilegia_canadensis_sepal_length;3,802;floral;sepal;M;linear;NA
Bartkowska_et_al._2018_Aquilegia_canadensis_field;Aquilegia_canadensis;spur_length;field;7;0,000769284305299489;30,05;0,000362644099291767;Aquilegia_canadensis_spur_length;3,802;floral;fit;M;linear;0,595
Billington_et_al_1988_Holcus_lanatus_greenhouse;Holcus_lanatus;flowering_time;greenhouse;2;0,0280348621942535;29,7;0,019823641167187;Holcus_lanatus_flowering_time;0,5;lifehistory;flowering;O;time;0,0997154685
Billington_et_al_1988_Holcus_lanatus_greenhouse;Holcus_lanatus;inflorescense_number;greenhouse;2;0,00442865582511495;47,85;0,00313153256548009;Holcus_lanatus_inflorescense_number;0,5;floral;display;O;count;5,8233373545
Billington_et_al_1988_Holcus_lanatus_greenhouse;Holcus_lanatus;leaf_width;greenhouse;2;0,00193017911176446;8,05;0,00136484273883328;Holcus_lanatus_leaf_width;0,5;vegetative;leaf_size;O;linear;1,0507770965
