cross	individual	sex	plant	calyx_w3	calyx_w4	calyx_w5	mean_cw
1	1	F	517	12.68	13.27	13.19	13.05
1	2	F	820	12.59	11.93	12.02	12.18
1	3	M	602	7.75	7.35	6.62	7.24
1	4	M	819	8.57	7.97	8.44	8.33
1	5	M	1889	10.01	10.34	9.99	10.11
1	6	M	397	9.52	8.94	9.6	9.35
1	7	F	1899	13.25	11.94	12.51	12.57
1	8	F	1398	9.12	10.28	10.21	9.87
1	9	F	920	10.99	10.91	11.21	11.04
1	10	M	818	8.76	8.74	8.61	8.70
1	11	M	1137	7.39	7.68	7.48	7.52
2	1	F	1454	12.38	12.27	11.89	12.18
2	2	M	936	8.34	8.63	8.11	8.36
2	3	F	1682	15.68	14.57	15.23	15.16
2	4	M	1912	8.76	9.08	8.86	8.90
2	5	F	729	11.48	11.48	11.49	11.48
2	6	M	1702	7.94	9.21	7.13	8.09
2	7	M	864	9.28	9.1	8.78	9.05
2	8	M	412	9.55	8.74	8.91	9.07
2	9	M	596	8.9	9.05	8.53	8.83
2	10	M	1389	9.5	9.17	8.65	9.11
2	11	M	1547	10.73	10.47	9.87	10.36
2	12	M	1395	8.65	8.76	8.77	8.73
3	1	F	392	12.61	12.29	11.52	12.14
3	2	F	707	15.13	13.65	13.48	14.09
3	3	M	1543	11.45	10.51	10.81	10.92
3	4	F	948	11.85	11.73	12.26	11.95
3	5	M	1462	10.43	9.19	8.18	9.27
3	6	F	815	12.12	10.92	10.96	11.33
3	7	M	917	10.88	10.54	9.54	10.32
3	8	M	1610	10.29	10.66	9.75	10.23
3	9	F	728	11.32	10.77	10.21	10.77
3	10	M	460	10.15	10.06	10.14	10.12
3	11	M	708	8.78	8.89	8.88	8.85
3	12	M	1841	10.26	9.66	9.72	9.88
4	1	M	706	10.02	9.69	9.36	9.69
4	2	M	1371	9.44	9.27	8.93	9.21
4	3	M	1062	9.45	8.65	8.68	8.93
4	4	F	1763	13.33	11.88	12.13	12.45
4	5	F	461	12.96	12.47	12.02	12.48
4	6	F	1063	11.14	10.96	10.89	11.00
4	7	M	1801	11.95	11.54	11.86	11.78
4	8	F	1713	12.98	12.31	12.12	12.47
4	9	F	337	13.33	11.33	12.1	12.25
4	10	F	1867	13.52	12.38	11.84	12.58
4	11	M	1654	9.38	9.08	9.11	9.19
4	12	F	1555	13.26	11.87	12.3	12.48
5	1	M	1513	8.92	8.32	8.06	8.43
5	2	F	1184	12.5	11.87	11.9	12.09
5	4	M	1360	9.09	8.9	8.78	8.92
5	5	F	1136	11.64	12.1	11.15	11.63
5	6	F	1060	12.84	11.96	12.16	12.32
5	7	F	1347	13.67	13.31	12.97	13.32
5	8	F	1185	12.03	10.85	11.29	11.39
5	10	F	916	13.8	12.93	12.18	12.97
6	1	F	1635	11.37	11.29	11.47	11.38
6	2	F	949	12.34	11.63	12.13	12.03
6	3	F	626	13.08	12.56	11.38	12.34
6	4	F	1183	13.05	12.35	12.35	12.58
6	5	F	814	12.02	11.93	11.51	11.82
6	6	F	1719	12.13	11.72	11.91	11.92
6	7	F	863	11.63	11.49	11.5	11.54
6	8	M	1632	10.08	10.29	10.29	10.22
6	9	F	860	13.97	12.53	12.92	13.14
