studyID	enter	check	reference	journal	year	family	genus	epithet	species	ms	where	population	lat	lon	environment	tg1	tg2	dimension	trait	mean	vp	sd	n	se													
1	ØO	ØO	Carr_and_Fenster_1994	Heredity	1994	Phrymaceae	Mimulus	guttatus	Mimulus_guttatus	M	North_America	S	38.05	-119.99	greenhouse	floral	female	linear	ovary_length	5.14	0.54	0.7348469	230	0.04845													
1	ØO	ØO	Carr_and_Fenster_1994	Heredity	1994	Phrymaceae	Mimulus	guttatus	Mimulus_guttatus	M	North_America	S	38.05	-119.99	greenhouse	floral	fit	linear	pistil_length	18.43	3.99	1.9974984	230	0.13171													
1	ØO	ØO	Carr_and_Fenster_1994	Heredity	1994	Phrymaceae	Mimulus	guttatus	Mimulus_guttatus	M	North_America	S	38.05	-119.99	greenhouse	floral	fit	linear	style_length	13.29	2.13	1.459452	230	0.09623													
1	ØO	ØO	Carr_and_Fenster_1994	Heredity	1994	Phrymaceae	Mimulus	guttatus	Mimulus_guttatus	M	North_America	S	38.05	-119.99	greenhouse	floral	fit	linear	stamen_height_high	15.5	3.44	1.8547237	230	0.1223													
1	ØO	ØO	Carr_and_Fenster_1994	Heredity	1994	Phrymaceae	Mimulus	guttatus	Mimulus_guttatus	M	North_America	S	38.05	-119.99	greenhouse	floral	fit	linear	stamen_height_low	13.27	2.76	1.6613248	230	0.10954													
1	ØO	ØO	Carr_and_Fenster_1994	Heredity	1994	Phrymaceae	Mimulus	guttatus	Mimulus_guttatus	M	North_America	S	38.05	-119.99	greenhouse	floral	flowersize	linear	corolla_width	22.43	19.12	4.3726422	230	0.28832													
1	ØO	ØO	Carr_and_Fenster_1994	Heredity	1994	Phrymaceae	Mimulus	guttatus	Mimulus_guttatus	M	North_America	S	38.05	-119.99	greenhouse	floral	flowersize	linear	corolla_length	21.41	10.23	3.1984371	230	0.2109													
1	ØO	ØO	Carr_and_Fenster_1994	Heredity	1994	Phrymaceae	Mimulus	guttatus	Mimulus_guttatus	M	North_America	S	38.05	-119.99	greenhouse	floral	herkogamy	linear	mean_magnitude	2.93	1.74	1.3190906	230	0.08698													
1	ØO	ØO	Carr_and_Fenster_1994	Heredity	1994	Phrymaceae	Mimulus	guttatus	Mimulus_guttatus	M	North_America	S	38.05	-119.99	greenhouse	lifehistory	flowering	time	days_to_first_flower	41.46	67.99	8.2456049	230	0.5437													
1	ØO	ØO	Carr_and_Fenster_1994	Heredity	1994	Phrymaceae	Mimulus	guttatus	Mimulus_guttatus	M	North_America	T	38.05	-119.99	greenhouse	floral	female	linear	ovary_length	5.22	0.95	0.9746794	250	0.06164													
