0,10,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2,3,4,5,6,7,8,9,10,,,,,,,,,,,,,,,,,,,,,,,,,
1,194.56,198.72,228.37,236.14,198.82,200.62,111.21,111.21,198.51,198.51,241.08,248.78,0,0,201.86,212.75,140.19,144.1,231.45,291.42,,,,,,,,,,,,,,
2,198.65,198.65,232.24,234.17,198.88,198.88,111.53,111.53,197.88,197.88,235.34,248.85,0,0,0,0,0,0,231.45,250.95,,,,,,,,,,,,,,
3,190.14,190.14,227.2,244.69,198.77,200.52,95.41,111.36,185.76,198.21,241.17,241.17,122.05,131.38,194.57,205.94,144.17,146.14,0,0,,,,,,,,,,,,,,
4,200.31,200.31,242.73,248.55,198.81,200.58,95.49,106.24,196.13,198.18,211.26,239.38,122.08,131.39,194.56,205.95,146.23,146.23,245.31,291.46,,,,,,,,,,,,,,
5,200.61,204.7,228.28,236.08,200.63,200.63,95.5,95.5,198.39,198.39,222.61,238.43,121.78,131.53,0,0,140.27,146.22,256.81,256.81,,,,,,,,,,,,,,
6,184.08,200.47,0,0,198.81,198.81,95.59,106.31,198.1,198.1,234.22,238.36,131.42,131.42,195.63,207.97,140.17,144.13,231.39,231.39,,,,,,,,,,,,,,
7,194.19,194.19,235.08,235.08,200.62,200.62,95.51,106.22,198.01,198.01,209.02,209.02,115.8,122.08,205.91,205.91,140.2,144.16,0,0,,,,,,,,,,,,,,
8,184,200.32,239.72,245.54,200.63,200.63,106.35,106.35,198.15,198.15,236.47,236.47,128.26,131.39,205.94,207.97,144.27,146.25,245.38,291.53,,,,,,,,,,,,,,
9,202.42,202.42,213.63,213.63,198.88,198.88,106.31,111.6,198.01,198.01,226.52,232.33,124.55,131.42,124.55,131.42,140.2,144.16,229.2,236.93,,,,,,,,,,,,,,
12,190.4,190.4,236.21,236.21,0,0,100.78,106.18,198.31,198.31,249.07,249.07,122.07,122.07,205.89,205.89,0,0,0,0,,,,,,,,,,,,,,
