,OutcropSystem,SampCircleID,UTM_E.m.,UTM_N.m.,Latitude,Longitude
1,QRL2,1,390573,4930642,44.52080308,-76.37696649
2,QRL2,2,390573,4930642,44.52080308,-76.37696649
3,QRL1,1,390566,4930677,44.52111702,-76.37706197
4,QRL1,2,390566,4930677,44.52111702,-76.37706197
5,QLL1,1,390534,4932248,44.53525127,-76.37779786
6,QLL1,2,390534,4932248,44.53525127,-76.37779786
7,QLL3,1,389812,4932584,44.5381653,-76.38695449
8,QLL3,2,389812,4932584,44.5381653,-76.38695449
9,QTUR,1,390646,4933399,44.54562732,-76.37663269
10,QTUR,2,390646,4933399,44.54562732,-76.37663269
11,QBED2,1,390597,4933875,44.5499039,-76.37735041
12,QBED2,2,390597,4933875,44.5499039,-76.37735041
13,QBED1,1,390901,4934429,44.55493601,-76.37364154
14,QBED1,2,390901,4934429,44.55493601,-76.37364154
