studyID	enter	check	reference	journal	year	family	genus	epithet	species	where	studytype	SC	matingsystem	tm_species_Moeller	tm_pop	outcrossing_best	matingsystem_certain	pollinator_group	pollinator	mating_system_evidence	population	lat	lon	environment	morph	traitgroup1	traitgroup2	traitgroup3	measurement	scale	dimension	method	h2type	nfam	n	h2	mean	Vp	CVa	Va	evolvability	e_on_log	Ie	notes											
1	ØO	ØO	Carr_&_Fenster_1994	Heredity	1994	Phrymaceae	Mimulus	guttatus	Mimulus_guttatus	North_America	natural	SC	M	0.611	NA	0.52	1	Bees	Bumblebees	Outcrossing_rate_(species_mean_reported_by_authors)	S	38.05	-119.99	greenhouse	NA	floral	female	ovary_size	ovary_length	ratio	linear	midparent	narrowsense	23	230	0.805	5.14	0.54	12.827	0.4347	1.645	0	0.399	Used_narrow-sense_heritabilities_from_mid-parent_regressions_reported_in_table_3._Summary_stats_in_Table_2.											
1	ØO	ØO	Carr_&_Fenster_1994	Heredity	1994	Phrymaceae	Mimulus	guttatus	Mimulus_guttatus	North_America	natural	SC	M	0.611	NA	0.52	1	Bees	Bumblebees	Outcrossing_rate_(species_mean_reported_by_authors)	S	38.05	-119.99	greenhouse	NA	floral	fit	female	pistil_length	ratio	linear	midparent	narrowsense	23	230	0.809	18.43	3.99	9.748	3.22791	0.950	0	0.224	Used_narrow-sense_heritabilities_from_mid-parent_regressions_reported_in_table_3._Summary_stats_in_Table_2.											
1	ØO	ØO	Carr_&_Fenster_1994	Heredity	1994	Phrymaceae	Mimulus	guttatus	Mimulus_guttatus	North_America	natural	SC	M	0.611	NA	0.52	1	Bees	Bumblebees	Outcrossing_rate_(species_mean_reported_by_authors)	S	38.05	-119.99	greenhouse	NA	floral	fit	female	style_length	ratio	linear	midparent	narrowsense	23	230	0.662	13.29	2.13	8.935	1.41006	0.798	0	0.408	Used_narrow-sense_heritabilities_from_mid-parent_regressions_reported_in_table_3._Summary_stats_in_Table_2.											
1	ØO	ØO	Carr_&_Fenster_1994	Heredity	1994	Phrymaceae	Mimulus	guttatus	Mimulus_guttatus	North_America	natural	SC	M	0.611	NA	0.52	1	Bees	Bumblebees	Outcrossing_rate_(species_mean_reported_by_authors)	S	38.05	-119.99	greenhouse	NA	floral	fit	male	stamen_height_high	ratio	linear	midparent	narrowsense	23	230	0.875	15.5	3.44	11.193	3.01	1.253	0	0.179	Used_narrow-sense_heritabilities_from_mid-parent_regressions_reported_in_table_3._Summary_stats_in_Table_2.											
1	ØO	ØO	Carr_&_Fenster_1994	Heredity	1994	Phrymaceae	Mimulus	guttatus	Mimulus_guttatus	North_America	natural	SC	M	0.611	NA	0.52	1	Bees	Bumblebees	Outcrossing_rate_(species_mean_reported_by_authors)	S	38.05	-119.99	greenhouse	NA	floral	fit	male	stamen_height_low	ratio	linear	midparent	narrowsense	23	230	0.757	13.27	2.76	10.893	2.08932	1.186	0	0.381	Used_narrow-sense_heritabilities_from_mid-parent_regressions_reported_in_table_3._Summary_stats_in_Table_2.											
1	ØO	ØO	Carr_&_Fenster_1994	Heredity	1994	Phrymaceae	Mimulus	guttatus	Mimulus_guttatus	North_America	natural	SC	M	0.611	NA	0.52	1	Bees	Bumblebees	Outcrossing_rate_(species_mean_reported_by_authors)	S	38.05	-119.99	greenhouse	NA	floral	flowersize	corolla	corolla_width	ratio	linear	midparent	narrowsense	23	230	0.376	22.43	19.12	11.954	7.18912	1.429	0	2.371	Used_narrow-sense_heritabilities_from_mid-parent_regressions_reported_in_table_3._Summary_stats_in_Table_2.											
1	ØO	ØO	Carr_&_Fenster_1994	Heredity	1994	Phrymaceae	Mimulus	guttatus	Mimulus_guttatus	North_America	natural	SC	M	0.611	NA	0.52	1	Bees	Bumblebees	Outcrossing_rate_(species_mean_reported_by_authors)	S	38.05	-119.99	greenhouse	NA	floral	flowersize	corolla	corolla_length	ratio	linear	midparent	narrowsense	23	230	0.576	21.41	10.23	11.338	5.89248	1.285	0	0.946	Used_narrow-sense_heritabilities_from_mid-parent_regressions_reported_in_table_3._Summary_stats_in_Table_2.											
1	ØO	ØO	Carr_&_Fenster_1994	Heredity	1994	Phrymaceae	Mimulus	guttatus	Mimulus_guttatus	North_America	natural	SC	M	0.611	NA	0.52	1	Bees	Bumblebees	Outcrossing_rate_(species_mean_reported_by_authors)	S	38.05	-119.99	greenhouse	NA	floral	herkogamy	HERKO	organ_size	signed_ratio	NA	midparent	narrowsense	23	230	NA	NA	NA	NA	NA	0.195	0	NA	Used_narrow-sense_heritabilities_from_mid-parent_regressions_reported_in_table_3._Summary_stats_in_Table_2.											
1	ØO	ØO	Carr_&_Fenster_1994	Heredity	1994	Phrymaceae	Mimulus	guttatus	Mimulus_guttatus	North_America	natural	SC	M	0.611	NA	0.52	1	Bees	Bumblebees	Outcrossing_rate_(species_mean_reported_by_authors)	S	38.05	-119.99	greenhouse	NA	floral	herkogamy	herkogamy	mean_magnitude	signed_ratio	NA	midparent	narrowsense	23	230	0.378	2.93	1.74	27.679	0.6573672	7.594	0	NA	Used_narrow-sense_heritabilities_from_mid-parent_regressions_reported_in_table_3._Summary_stats_in_Table_2.											
1	ØO	ØO	Carr_&_Fenster_1994	Heredity	1994	Phrymaceae	Mimulus	guttatus	Mimulus_guttatus	North_America	natural	SC	M	0.611	NA	0.52	1	Bees	Bumblebees	Outcrossing_rate_(species_mean_reported_by_authors)	S	38.05	-119.99	greenhouse	NA	lifehistory	flowering	ontogeny	days_to_first_flower	time	time	midparent	narrowsense	23	230	0.631	41.46	67.99	15.798	42.90169	2.496	0	1.460	Used_narrow-sense_heritabilities_from_mid-parent_regressions_reported_in_table_3._Summary_stats_in_Table_2.											
