studyID	enter	check	reference	journal	year	family	genus	epithet	species	where	studytype	SC	matingsystem	tm_species_Moeller	tm_pop	outcrossing_best	matingsystem_certain	pollinator_group	pollinator	mating_system_evidence	population	lat	lon	environment	morph	traitgroup1	traitgroup2	traitgroup3	traitX	traitY	scale	dimension	method	h2type	nfam	n	h2	mean	Vp	CVa	isCor	corA	corP	Va	evolvability	e_on_log	Ie	notes								
11	ØO	ØO	Caruso_2004	Evolution	2004	Lobeliaceae	Lobelia	siphilitica	Lobelia_siphilitica	North_America	natural	SC	M	NA	NA	NA	0.5	Bees	Bumblebees	Author_description_(M_or_O?)	CERA	41.683333	-92.867222	greenhouse	NA	floral	display	flower_number	flower_number	flower_number	count	count	halfsib_families	narrowsense	57	409	0.464	87.95	696.8642241	NA	0	NA	NA	323.345	4.18	0	4.829	Va_given_in_Appendix._Summary_stats_in_Table_1.								
11	ØO	ØO	Caruso_2004	Evolution	2004	Lobeliaceae	Lobelia	siphilitica	Lobelia_siphilitica	North_America	natural	SC	M	NA	NA	NA	0.5	Bees	Bumblebees	Author_description_(M_or_O?)	CERA	41.683333	-92.867222	greenhouse	NA	floral	fit	female	stigma_nectary_distance	stigma_nectary_distance	ratio	linear	halfsib_families	narrowsense	57	369	0.539	24.04	2.022263451	NA	0	NA	NA	1.09	0.189	0	0.161	Va_given_in_Appendix._Summary_stats_in_Table_1.								
11	ØO	ØO	Caruso_2004	Evolution	2004	Lobeliaceae	Lobelia	siphilitica	Lobelia_siphilitica	North_America	natural	SC	M	NA	NA	NA	0.5	Bees	Bumblebees	Author_description_(M_or_O?)	CERA	41.683333	-92.867222	greenhouse	NA	floral	fit	tube_length	corolla_tube_length	corolla_tube_length	ratio	linear	halfsib_families	narrowsense	57	410	0.565	17.61	1.214159292	NA	0	NA	NA	0.686	0.221	0	0.17	Va_given_in_Appendix._Summary_stats_in_Table_1.								
11	ØO	ØO	Caruso_2004	Evolution	2004	Lobeliaceae	Lobelia	siphilitica	Lobelia_siphilitica	North_America	natural	SC	M	NA	NA	NA	0.5	Bees	Bumblebees	Author_description_(M_or_O?)	CERA	41.683333	-92.867222	greenhouse	NA	floral	fit	tube_width	corolla_tube_width	corolla_tube_width	ratio	linear	halfsib_families	narrowsense	57	403	0.631	6.41	0.656101426	NA	0	NA	NA	0.414	1.008	0	0.589	Va_given_in_Appendix._Summary_stats_in_Table_1.								
11	ØO	ØO	Caruso_2004	Evolution	2004	Lobeliaceae	Lobelia	siphilitica	Lobelia_siphilitica	North_America	natural	SC	M	NA	NA	NA	0.5	Bees	Bumblebees	Author_description_(M_or_O?)	CERA	41.683333	-92.867222	greenhouse	NA	floral	flowersize	corolla	corolla_lobe_length	corolla_lobe_length	ratio	linear	halfsib_families	narrowsense	57	389	0.462	14.17	1.971861472	NA	0	NA	NA	0.911	0.454	0	0.528	Va_given_in_Appendix._Summary_stats_in_Table_1.								
11	ØO	ØO	Caruso_2004	Evolution	2004	Lobeliaceae	Lobelia	siphilitica	Lobelia_siphilitica	North_America	natural	SC	M	NA	NA	NA	0.5	Bees	Bumblebees	Author_description_(M_or_O?)	CERA	41.683333	-92.867222	greenhouse	NA	floral	flowersize	corolla	corolla_lobe_width	corolla_lobe_width	ratio	linear	halfsib_families	narrowsense	57	403	0.469	5.94	0.317697228	NA	0	NA	NA	0.149	0.422	0	0.478	Va_given_in_Appendix._Summary_stats_in_Table_1.								
11	ØO	ØO	Caruso_2004	Evolution	2004	Lobeliaceae	Lobelia	siphilitica	Lobelia_siphilitica	North_America	natural	SC	M	NA	NA	NA	0.5	Bees	Bumblebees	Author_description_(M_or_O?)	CERA	41.683333	-92.867222	greenhouse	NA	NA	NA	NA	flower_number	stigma_nectary_distance	NA	NA	halfsib_families	narrowsense	NA	NA	NA	NA	NA	NA	0	NA	NA	-10.293	NA	NA	NA	NA								
11	ØO	ØO	Caruso_2004	Evolution	2004	Lobeliaceae	Lobelia	siphilitica	Lobelia_siphilitica	North_America	natural	SC	M	NA	NA	NA	0.5	Bees	Bumblebees	Author_description_(M_or_O?)	CERA	41.683333	-92.867222	greenhouse	NA	NA	NA	NA	flower_number	corolla_tube_length	NA	NA	halfsib_families	narrowsense	NA	NA	NA	NA	NA	NA	0	NA	NA	0.415	NA	NA	NA	NA								
11	ØO	ØO	Caruso_2004	Evolution	2004	Lobeliaceae	Lobelia	siphilitica	Lobelia_siphilitica	North_America	natural	SC	M	NA	NA	NA	0.5	Bees	Bumblebees	Author_description_(M_or_O?)	CERA	41.683333	-92.867222	greenhouse	NA	NA	NA	NA	flower_number	corolla_tube_width	NA	NA	halfsib_families	narrowsense	NA	NA	NA	NA	NA	NA	0	NA	NA	-5.565	NA	NA	NA	NA								
11	ØO	ØO	Caruso_2004	Evolution	2004	Lobeliaceae	Lobelia	siphilitica	Lobelia_siphilitica	North_America	natural	SC	M	NA	NA	NA	0.5	Bees	Bumblebees	Author_description_(M_or_O?)	CERA	41.683333	-92.867222	greenhouse	NA	NA	NA	NA	flower_number	corolla_lobe_length	NA	NA	halfsib_families	narrowsense	NA	NA	NA	NA	NA	NA	0	NA	NA	-0.333	NA	NA	NA	NA								
