Latitude	Longitude	Region	Population	Id	Family	Day_of_flower_start
34.4315	118.6299	2	1	1.1	1	27
34.4315	118.6299	2	1	1.2	1	30
34.4315	118.6299	2	1	2.1	2	25
34.4315	118.6299	2	1	2.2	2	22
34.4315	118.6299	2	1	2.3	2	26
34.4315	118.6299	2	1	3.1	3	22
34.4315	118.6299	2	1	3.2	3	20
34.4315	118.6299	2	1	3.3	3	25
34.4315	118.6299	2	1	3.4	3	22
34.4315	118.6299	2	1	3.5	3	22
34.4315	118.6299	2	1	4.1	4	22
34.4315	118.6299	2	1	4.2	4	17
34.4315	118.6299	2	1	4.3	4	29
34.4315	118.6299	2	1	6.1	6	24
34.4315	118.6299	2	1	6.2	6	31
34.4315	118.6299	2	1	6.4	6	30
34.4315	118.6299	2	1	8.1	8	25
34.4315	118.6299	2	1	8.2	8	22
34.4315	118.6299	2	1	8.3	8	20
34.4315	118.6299	2	1	8.4	8	20
34.4315	118.6299	2	1	8.5	8	24
34.4315	118.6299	2	1	9.1	9	28
34.4315	118.6299	2	1	9.2	9	31
34.4315	118.6299	2	1	9.3	9	31
34.4315	118.6299	2	1	9.4	9	30
34.4315	118.6299	2	1	9.5	9	24
34.4315	118.6299	2	1	10.1	10	19
34.4315	118.6299	2	1	10.2	10	20
34.4315	118.6299	2	1	10.3	10	23
34.4315	118.6299	2	1	10.4	10	34
34.4315	118.6299	2	1	10.5	10	25
34.4315	118.6299	2	1	11.1	11	22
34.4315	118.6299	2	1	11.2	11	25
34.4315	118.6299	2	1	11.3	11	30
34.4315	118.6299	2	1	12.1	12	22
34.4315	118.6299	2	1	12.2	12	27
34.4315	118.6299	2	1	12.3	12	24
34.4315	118.6299	2	1	13.1	13	21
34.4315	118.6299	2	1	13.2	13	28
34.4315	118.6299	2	1	13.3	13	33
34.4315	118.6299	2	1	13.4	13	24
34.4315	118.6299	2	1	13.5	13	21
34.4315	118.6299	2	1	14.1	14	15
34.4315	118.6299	2	1	14.2	14	19
34.4315	118.6299	2	1	14.3	14	15
34.4315	118.6299	2	1	14.4	14	21
34.4315	118.6299	2	1	14.5	14	23
34.4315	118.6299	2	1	15.1	15	30
34.4315	118.6299	2	1	15.2	15	15
34.4315	118.6299	2	1	15.3	15	21
34.4315	118.6299	2	1	15.4	15	29
34.4315	118.6299	2	1	16.1	16	21
34.4315	118.6299	2	1	16.2	16	27
34.4315	118.6299	2	1	16.3	16	21
34.4315	118.6299	2	1	16.4	16	21
34.4315	118.6299	2	1	16.5	16	17
34.4315	118.6299	2	1	18.1	18	25
34.4315	118.6299	2	1	18.2	18	22
34.4315	118.6299	2	1	18.3	18	19
34.4315	118.6299	2	1	18.4	18	28
34.4315	118.6299	2	1	18.5	18	22
34.4315	118.6299	2	1	19.1	19	16
34.4315	118.6299	2	1	19.2	19	24
34.4315	118.6299	2	1	20.1	20	33
34.4315	118.6299	2	1	20.2	20	27
34.4315	118.6299	2	1	20.3	20	22
34.4315	118.6299	2	1	20.4	20	21
34.4315	118.6299	2	1	20.5	20	23
33.5165	117.3381	1	3	1.1	1	21
33.5165	117.3381	1	3	1.2	1	12
33.5165	117.3381	1	3	1.3	1	21
33.5165	117.3381	1	3	1.4	1	23
33.5165	117.3381	1	3	1.5	1	23
33.5165	117.3381	1	3	2.1	2	18
33.5165	117.3381	1	3	2.2	2	18
33.5165	117.3381	1	3	2.3	2	19
33.5165	117.3381	1	3	2.4	2	20
33.5165	117.3381	1	3	2.5	2	15
33.5165	117.3381	1	3	3.1	3	17
33.5165	117.3381	1	3	3.2	3	25
33.5165	117.3381	1	3	3.3	3	22
33.5165	117.3381	1	3	3.4	3	26
33.5165	117.3381	1	3	3.5	3	22
33.5165	117.3381	1	3	4.1	4	25
33.5165	117.3381	1	3	4.2	4	20
33.5165	117.3381	1	3	4.3	4	16
33.5165	117.3381	1	3	4.4	4	16
33.5165	117.3381	1	3	4.5	4	17
33.5165	117.3381	1	3	5.1	5	21
33.5165	117.3381	1	3	5.2	5	19
33.5165	117.3381	1	3	5.3	5	20
33.5165	117.3381	1	3	5.4	5	20
33.5165	117.3381	1	3	5.5	5	19
33.5165	117.3381	1	3	6.1	6	21
33.5165	117.3381	1	3	6.2	6	20
33.5165	117.3381	1	3	6.3	6	22
33.5165	117.3381	1	3	6.4	6	26
33.5165	117.3381	1	3	6.5	6	22
33.5165	117.3381	1	3	7.1	7	15
33.5165	117.3381	1	3	7.2	7	23
33.5165	117.3381	1	3	8.1	8	19
33.5165	117.3381	1	3	8.2	8	20
33.5165	117.3381	1	3	8.3	8	21
33.5165	117.3381	1	3	8.4	8	24
33.5165	117.3381	1	3	8.5	8	23
33.5165	117.3381	1	3	9.1	9	16
33.5165	117.3381	1	3	9.2	9	16
33.5165	117.3381	1	3	9.3	9	19
33.5165	117.3381	1	3	9.4	9	20
33.5165	117.3381	1	3	9.5	9	18
33.5165	117.3381	1	3	10.1	10	27
33.5165	117.3381	1	3	10.2	10	20
33.5165	117.3381	1	3	10.3	10	16
33.5165	117.3381	1	3	11.1	11	21
33.5165	117.3381	1	3	11.2	11	18
33.5165	117.3381	1	3	11.3	11	23
33.5165	117.3381	1	3	11.4	11	23
33.5165	117.3381	1	3	11.5	11	21
33.5165	117.3381	1	3	12.1	12	19
33.5165	117.3381	1	3	12.2	12	15
33.5165	117.3381	1	3	12.3	12	23
33.5165	117.3381	1	3	12.4	12	12
33.5165	117.3381	1	3	12.5	12	17
33.5165	117.3381	1	3	13.1	13	14
33.5165	117.3381	1	3	13.2	13	19
33.5165	117.3381	1	3	13.3	13	13
33.5165	117.3381	1	3	13.4	13	22
33.5165	117.3381	1	3	13.5	13	22
33.5165	117.3381	1	3	14.1	14	11
33.5165	117.3381	1	3	14.2	14	21
33.5165	117.3381	1	3	14.3	14	21
33.5165	117.3381	1	3	14.4	14	17
33.5165	117.3381	1	3	14.5	14	18
33.5165	117.3381	1	3	16.1	16	18
33.5165	117.3381	1	3	16.2	16	24
33.5165	117.3381	1	3	16.3	16	25
33.5165	117.3381	1	3	16.4	16	23
33.5165	117.3381	1	3	16.5	16	27
33.5165	117.3381	1	3	18.1	18	18
33.5165	117.3381	1	3	18.2	18	23
33.5165	117.3381	1	3	18.3	18	23
33.5165	117.3381	1	3	18.4	18	22
33.5165	117.3381	1	3	18.5	18	22
33.5165	117.3381	1	3	21.1	21	22
33.5165	117.3381	1	3	21.2	21	19
33.5165	117.3381	1	3	21.3	21	24
34.5239	119.8335	2	5	7.1	7	33
34.5239	119.8335	2	5	7.2	7	25
34.5239	119.8335	2	5	7.3	7	24
34.5239	119.8335	2	5	7.4	7	30
34.5239	119.8335	2	5	7.5	7	27
34.5239	119.8335	2	5	17.1	5217	30
34.5239	119.8335	2	5	17.2	5217	24
34.5239	119.8335	2	5	17.3	5217	22
34.5239	119.8335	2	5	19.1	5219	25
34.5239	119.8335	2	5	19.2	5219	24
34.7411	120.0136	2	7	1.1	1	25
34.7411	120.0136	2	7	1.2	1	35
34.7411	120.0136	2	7	1.3	1	20
34.7411	120.0136	2	7	4.1	4	33
34.7411	120.0136	2	7	4.2	4	25
34.7411	120.0136	2	7	5.1	5	31
34.7411	120.0136	2	7	5.2	5	22
34.7411	120.0136	2	7	5.3	5	29
34.7411	120.0136	2	7	5.4	5	28
34.7411	120.0136	2	7	7.1	7	20
34.7411	120.0136	2	7	7.2	7	28
34.7411	120.0136	2	7	7.3	7	22
34.7411	120.0136	2	7	7.4	7	24
34.7411	120.0136	2	7	7.5	7	19
34.7411	120.0136	2	7	10.1	10	34
34.7411	120.0136	2	7	10.2	10	21
34.7411	120.0136	2	7	10.3	10	20
34.7411	120.0136	2	7	10.4	10	23
34.7411	120.0136	2	7	10.5	10	27
34.7411	120.0136	2	7	12.1	12	17
34.7411	120.0136	2	7	12.2	12	25
34.7411	120.0136	2	7	12.3	12	23
34.7411	120.0136	2	7	12.4	12	25
34.7411	120.0136	2	7	12.5	12	23
34.7411	120.0136	2	7	13.1	13	17
34.7411	120.0136	2	7	13.2	13	16
34.7411	120.0136	2	7	13.3	13	21
34.7411	120.0136	2	7	13.4	13	12
34.7411	120.0136	2	7	13.5	13	17
34.7411	120.0136	2	7	16.1	16	27
34.7411	120.0136	2	7	16.2	16	34
34.7411	120.0136	2	7	17.1	17	28
34.7411	120.0136	2	7	17.2	17	23
34.7411	120.0136	2	7	17.3	17	21
34.7411	120.0136	2	7	17.4	17	20
34.7411	120.0136	2	7	17.5	17	23
34.7411	120.0136	2	7	22.1	22	24
34.7411	120.0136	2	7	22.2	22	25
34.7411	120.0136	2	7	23.1	23	23
34.7411	120.0136	2	7	23.2	23	21
34.7411	120.0136	2	7	23.3	23	24
34.7411	120.0136	2	7	23.4	23	24
34.7411	120.0136	2	7	23.5	23	23
34.7411	120.0136	2	7	24.1	24	28
34.7411	120.0136	2	7	24.2	24	25
37.6508	212.6025	4	8	2.1	2	25
37.6508	212.6025	4	8	2.2	2	22
37.6508	212.6025	4	8	2.3	2	30
37.6508	212.6025	4	8	2.4	2	25
37.6508	212.6025	4	8	6.1	6	22
37.6508	212.6025	4	8	6.2	6	17
37.6508	212.6025	4	8	6.3	6	15
37.6508	212.6025	4	8	21.1	21	15
37.6508	212.6025	4	8	21.2	21	23
37.5768	119.9486	3	10	1.1	1	31
37.5768	119.9486	3	10	1.2	1	23
37.5768	119.9486	3	10	1.3	1	27
37.5768	119.9486	3	10	3.1	3	29
37.5768	119.9486	3	10	3.2	3	30
37.5768	119.9486	3	10	3.3	3	35
37.5768	119.9486	3	10	3.4	3	33
37.5768	119.9486	3	10	3.5	3	25
37.5768	119.9486	3	10	4.1	4	27
37.5768	119.9486	3	10	4.2	4	29
37.5768	119.9486	3	10	4.3	4	29
37.5768	119.9486	3	10	4.4	4	26
37.5768	119.9486	3	10	4.5	4	28
37.5768	119.9486	3	10	6.1	6	31
37.5768	119.9486	3	10	6.2	6	25
37.5768	119.9486	3	10	6.3	6	21
37.5768	119.9486	3	10	6.3	6	21
37.5768	119.9486	3	10	6.4	6	30
37.5768	119.9486	3	10	6.5	6	30
37.5768	119.9486	3	10	9.1	9	30
37.5768	119.9486	3	10	9.2	9	32
37.5768	119.9486	3	10	9.3	9	28
37.5768	119.9486	3	10	9.4	9	21
37.5768	119.9486	3	10	11.1	11	15
37.5768	119.9486	3	10	11.2	11	22
37.5768	119.9486	3	10	13.1	13	25
37.5768	119.9486	3	10	13.2	13	33
37.5768	119.9486	3	10	14.1	14	28
37.5768	119.9486	3	10	14.2	14	27
37.5768	119.9486	3	10	14.3	14	24
37.5768	119.9486	3	10	14.4	14	23
37.5768	119.9486	3	10	14.5	14	28
37.5768	119.9486	3	10	15.1	15	36
37.5768	119.9486	3	10	15.2	15	31
37.5768	119.9486	3	10	15.3	15	23
37.5768	119.9486	3	10	15.4	15	28
37.5768	119.9486	3	10	15.5	15	35
37.5768	119.9486	3	10	16.1	16	23
37.5768	119.9486	3	10	16.2	16	23
37.5768	119.9486	3	10	16.3	16	28
37.5768	119.9486	3	10	16.4	16	28
37.5768	119.9486	3	10	16.5	16	27
37.5768	119.9486	3	10	18.1	18	26
37.5768	119.9486	3	10	19.1	19	30
37.5768	119.9486	3	10	19.2	19	37
37.5768	119.9486	3	10	19.3	19	25
37.5768	119.9486	3	10	19.4	19	25
37.5023	120.0687	3	11	0	12	6
37.5023	120.0687	3	11	2.1	2	11
37.5023	120.0687	3	11	2.2	2	20
37.5023	120.0687	3	11	2.3	2	23
37.5023	120.0687	3	11	2.4	2	17
37.5023	120.0687	3	11	2.5	2	22
37.5023	120.0687	3	11	4.1	4	6
37.5023	120.0687	3	11	4.2	4	19
37.5023	120.0687	3	11	4.3	4	13
37.5023	120.0687	3	11	4.4	4	19
37.5023	120.0687	3	11	4.5	4	20
37.5023	120.0687	3	11	5.1	5	19
37.5023	120.0687	3	11	5.2	5	6
37.5023	120.0687	3	11	5.3	5	21
37.5023	120.0687	3	11	5.4	5	20
37.5023	120.0687	3	11	6.1	6	5
37.5023	120.0687	3	11	6.2	6	6
37.5023	120.0687	3	11	6.3	6	16
37.5023	120.0687	3	11	6.4	6	39
37.5023	120.0687	3	11	6.5	6	10
37.5023	120.0687	3	11	7.1	7	15
37.5023	120.0687	3	11	7.2	7	1
37.5023	120.0687	3	11	7.3	7	1
37.5023	120.0687	3	11	7.4	7	5
37.5023	120.0687	3	11	7.5	7	7
37.5023	120.0687	3	11	9.2	9	22
37.5023	120.0687	3	11	9.3	9	30
37.5023	120.0687	3	11	9.4	9	36
37.5023	120.0687	3	11	9.5	9	30
37.5023	120.0687	3	11	11.1	11	12
37.5023	120.0687	3	11	11.2	11	18
37.5023	120.0687	3	11	11.3	11	30
