Latitude	Longitude	Region	Population	Id	Family	Stage_of_anther_stigma_contact
34.4315	118.6299	2	1	3.2	3	3
34.4315	118.6299	2	1	3.3	3	4
34.4315	118.6299	2	1	4.1	4	3.5
34.4315	118.6299	2	1	4.2	4	3
34.4315	118.6299	2	1	6.1	6	4
34.4315	118.6299	2	1	6.4	6	4
34.4315	118.6299	2	1	8.3	8	4
34.4315	118.6299	2	1	8.5	8	4
34.4315	118.6299	2	1	9.4	9	4
34.4315	118.6299	2	1	9.5	9	4
34.4315	118.6299	2	1	10.1	10	4
34.4315	118.6299	2	1	10.3	10	3.5
34.4315	118.6299	2	1	11.2	11	4
34.4315	118.6299	2	1	11.3	11	4
34.4315	118.6299	2	1	12.1	12	4
34.4315	118.6299	2	1	12.3	12	4
34.4315	118.6299	2	1	13.3	13	4
34.4315	118.6299	2	1	13.5	13	4
34.4315	118.6299	2	1	14.1	14	4
34.4315	118.6299	2	1	14.3	14	3
34.4315	118.6299	2	1	15.1	15	3
34.4315	118.6299	2	1	15.2	15	3.5
34.4315	118.6299	2	1	16.2	16	3.5
34.4315	118.6299	2	1	16.5	16	2.5
34.4315	118.6299	2	1	18.3	18	4
34.4315	118.6299	2	1	18.5	18	3
33.5165	117.3381	1	3	1.1	1	3
33.5165	117.3381	1	3	1.2	1	3
33.5165	117.3381	1	3	2.2	2	3.5
33.5165	117.3381	1	3	2.3	2	2.5
33.5165	117.3381	1	3	3.1	3	3
33.5165	117.3381	1	3	4.1	4	3
33.5165	117.3381	1	3	4.4	4	3
33.5165	117.3381	1	3	5.2	5	3
33.5165	117.3381	1	3	5.5	5	3
33.5165	117.3381	1	3	6.1	6	3
33.5165	117.3381	1	3	7.1	7	3
33.5165	117.3381	1	3	7.2	7	3
33.5165	117.3381	1	3	9.4	9	3
33.5165	117.3381	1	3	9.5	9	3.5
33.5165	117.3381	1	3	10.2	10	3
33.5165	117.3381	1	3	10.3	10	3.5
33.5165	117.3381	1	3	12.1	12	2.5
33.5165	117.3381	1	3	12.4	12	3
33.5165	117.3381	1	3	13.1	13	3
33.5165	117.3381	1	3	13.2	13	3
33.5165	117.3381	1	3	14.1	14	3
33.5165	117.3381	1	3	14.4	14	3.5
33.5165	117.3381	1	3	16.1	16	3
33.5165	117.3381	1	3	16.3	16	3.5
33.5165	117.3381	1	3	18.1	18	3
33.5165	117.3381	1	3	18.2	18	3
33.5165	117.3381	1	3	3,x	3	3
33.5165	117.3381	1	3	6,x	6	2.5
34.5239	119.8335	2	5	7.3	7	3.5
34.5239	119.8335	2	5	7.5	7	4
34.5239	119.8335	2	5	17.2	5217	3
34.5239	119.8335	2	5	17.3	5217	3
34.5239	119.8335	2	5	19.1	5219	2
34.5239	119.8335	2	5	19.2	5219	2.5
34.7411	120.0136	2	7	4.2	4	3
34.7411	120.0136	2	7	5.2	5	3
34.7411	120.0136	2	7	6.1	6	2
34.7411	120.0136	2	7	7.1	7	3.5
34.7411	120.0136	2	7	10.3	10	3
34.7411	120.0136	2	7	12.1	12	3.5
34.7411	120.0136	2	7	13.1	13	3
34.7411	120.0136	2	7	15.1	15	3
34.7411	120.0136	2	7	16.1	16	3
34.7411	120.0136	2	7	17.4	17	3
34.7411	120.0136	2	7	18.1	18	3.5
34.7411	120.0136	2	7	21.1	21	3
34.7411	120.0136	2	7	22.2	22	2.5
34.7411	120.0136	2	7	23.5	23	2.5
34.7411	120.0136	2	7	10,x	10	3
