Latitude	Longitude	Region	Population	Id	Family	Stage_of_stigma_receptivity
34.4315	118.6299	2	1	3.2	3	4
34.4315	118.6299	2	1	4.2	4	2.25
34.4315	118.6299	2	1	8.3	8	3.5
34.4315	118.6299	2	1	10.1	10	3.5
34.4315	118.6299	2	1	14.3	14	1.5
34.4315	118.6299	2	1	15.2	15	3.75
34.4315	118.6299	2	1	16.5	16	2
34.4315	118.6299	2	1	17.1	17	4
34.4315	118.6299	2	1	18.3	18	3.75
34.4315	118.6299	2	1	19.1	19	3.75
33.5165	117.3381	1	3	1.2	1	1.75
33.5165	117.3381	1	3	2.3	2	4
33.5165	117.3381	1	3	4.4	4	2.5
33.5165	117.3381	1	3	5.5	5	2
33.5165	117.3381	1	3	7.1	7	3.75
33.5165	117.3381	1	3	9.4	9	2.75
33.5165	117.3381	1	3	12.4	12	3.75
33.5165	117.3381	1	3	13.1	13	3.75
33.5165	117.3381	1	3	14.1	14	3.25
33.5165	117.3381	1	3	18.1	18	3.25
34.5239	119.8335	2	5	2.1	2	2.5
34.5239	119.8335	2	5	7.3	7	3
34.5239	119.8335	2	5	8.1	528	4
34.5239	119.8335	2	5	17.3	5217	2.25
34.5239	119.8335	2	5	19.2	5219	2.5
34.7411	120.0136	2	7	1.1	1	2.75
34.7411	120.0136	2	7	7.1	7	2.75
34.7411	120.0136	2	7	10.3	10	3.25
34.7411	120.0136	2	7	12.1	12	3.25
34.7411	120.0136	2	7	13.1	13	2.25
34.7411	120.0136	2	7	15.1	15	2
34.7411	120.0136	2	7	17.4	17	4
34.7411	120.0136	2	7	18.1	18	3.5
34.7411	120.0136	2	7	22.2	22	1.5
34.7411	120.0136	2	7	23.5	23	2
37.5768	119.9486	3	10	1.2	1	3
37.5768	119.9486	3	10	3.5	3	1
37.5768	119.9486	3	10	4.1	4	3
37.5768	119.9486	3	10	6.1	6	1.5
37.5768	119.9486	3	10	9.4	9	2
37.5768	119.9486	3	10	11.2	11	2.5
37.5768	119.9486	3	10	14.3	14	1.5
37.5768	119.9486	3	10	15.3	15	2.75
37.5768	119.9486	3	10	16.1	16	1.75
37.5768	119.9486	3	10	19.3	19	2
37.5023	120.0687	3	11	2.1	2	4
37.5023	120.0687	3	11	4.1	4	3
37.5023	120.0687	3	11	6.2	6	3
37.5023	120.0687	3	11	7.3	7	1.75
37.5023	120.0687	3	11	11.1	11	3.5
37.5023	120.0687	3	11	12.1	12	3
37.5023	120.0687	3	11	15.2	15	2
37.5023	120.0687	3	11	16.2	16	3.5
37.5023	120.0687	3	11	17.3	17	2.75
37.5023	120.0687	3	11	20.1	20	3.5
37.1794	119.5124	3	13	1.2	1	2
37.1794	119.5124	3	13	4.2	4	3
37.1794	119.5124	3	13	5.1	5	2.25
37.1794	119.5124	3	13	6.2	6	1.75
37.1794	119.5124	3	13	10.3	10	2.25
37.1794	119.5124	3	13	11.2	11	1.75
37.1794	119.5124	3	13	16.2	16	1.75
37.1794	119.5124	3	13	17.2	17	1.75
37.1794	119.5124	3	13	19.2	19	2.25
37.1794	119.5124	3	13	2,2+2,4	2	2.63
38.7238	112.266	4	17	4.1	4	2.25
38.7238	112.266	4	17	5.1	5	1.5
38.7238	112.266	4	17	6.1	6	3
38.7238	112.266	4	17	8.1	8	2.5
38.7238	112.266	4	17	9.2	9	1.25
38.7238	112.266	4	17	13.1	13	3
38.7238	112.266	4	17	14.2	14	2.25
38.7238	112.266	4	17	15.5	15	3.75
38.7238	112.266	4	17	1,x	mix1	3.75
38.7238	112.266	4	17	11,x	mix11	3
38.7238	112.266	4	17	15,x	mix15	4
38.7238	112.266	4	17	3,x	mix3	3.75
38.7238	112.266	4	17	7,x	mix7	4
38.7238	112.266	4	17	8,x	mix8	3.75
37.3292	121.6813	4	19	1.1	1	3
37.3292	121.6813	4	19	2.2	2	3
37.3292	121.6813	4	19	4.1	4	3
37.3292	121.6813	4	19	6.3	6	3.5
37.3292	121.6813	4	19	9.2	9	2
37.3292	121.6813	4	19	10.4	10	2.75
37.3292	121.6813	4	19	15.3	15	2.25
37.3292	121.6813	4	19	17.2	17	2.75
37.3292	121.6813	4	19	19.2	19	3.5
37.3292	121.6813	4	19	20.1	20	3.25
34.5615	119.5615	2	61	3.3	3	4
34.5615	119.5615	2	61	17.4	17	3.5
34.5615	119.5615	2	61	19.5	19	3.5
34.5615	119.5615	2	61	22.3	22	4
34.5615	119.5615	2	61	23.2	23	3
34.5615	119.5615	2	61	24.4	24	3
34.5615	119.5615	2	61	27.4	27	3
34.5615	119.5615	2	61	30.2	30	2
34.5615	119.5615	2	61	31.3	31	3.5
34.5615	119.5615	2	61	32.4	32	4
38.5845	122.3733	4	142	3.3	3	2.25
38.5845	122.3733	4	142	4.1	4	3.38
38.5845	122.3733	4	142	5.1	5	4
38.5845	122.3733	4	142	10.3	10	3.25
38.5845	122.3733	4	142	12.4	12	3.5
38.5845	122.3733	4	142	15.5	15	3.38
38.5845	122.3733	4	142	16.3	16	2.75
38.5845	122.3733	4	142	17.2	17	3
38.5845	122.3733	4	142	18.4	18	2.25
38.5845	122.3733	4	142	19.2	19	3
38.6441	122.3735	4	151	4.1	4	2
38.6441	122.3735	4	151	8.2	8	3.75
38.6441	122.3735	4	151	9.1	9	2.75
38.6441	122.3735	4	151	11.5	11	4
38.6441	122.3735	4	151	12.4	12	3
38.6441	122.3735	4	151	14.4	14	3
38.6441	122.3735	4	151	16.5	16	3.5
38.6441	122.3735	4	151	18.1	18	3.75
38.6441	122.3735	4	151	19.2	19	4
38.6441	122.3735	4	151	20.5	20	3.25
