Latitude	Longitude	Region	Population	Id	Family	Keel_length_mm
34.4315	118.6299	2	1	3.2	3	18
34.4315	118.6299	2	1	3.3	3	17
34.4315	118.6299	2	1	4.1	4	19.5
34.4315	118.6299	2	1	4.2	4	18
34.4315	118.6299	2	1	6.1	6	19.5
34.4315	118.6299	2	1	6.4	6	20
34.4315	118.6299	2	1	8.3	8	19
34.4315	118.6299	2	1	8.5	8	17
34.4315	118.6299	2	1	9.4	9	20
34.4315	118.6299	2	1	9.5	9	20.5
34.4315	118.6299	2	1	10.1	10	18
34.4315	118.6299	2	1	10.3	10	19
34.4315	118.6299	2	1	11.2	11	19.5
34.4315	118.6299	2	1	11.3	11	20
34.4315	118.6299	2	1	12.1	12	20
34.4315	118.6299	2	1	12.3	12	21
34.4315	118.6299	2	1	13.3	13	20
34.4315	118.6299	2	1	13.5	13	19.5
34.4315	118.6299	2	1	14.1	14	18.5
34.4315	118.6299	2	1	14.3	14	20
34.4315	118.6299	2	1	15.1	15	15.5
34.4315	118.6299	2	1	15.2	15	17.5
34.4315	118.6299	2	1	16.2	16	16
34.4315	118.6299	2	1	16.5	16	18
34.4315	118.6299	2	1	18.3	18	17.5
34.4315	118.6299	2	1	18.5	18	19.5
34.4315	118.6299	2	1	19.1	19	19
34.4315	118.6299	2	1	19.2	19	15
33.5165	117.3381	1	3	1.1	1	17.5
33.5165	117.3381	1	3	1.2	1	16
33.5165	117.3381	1	3	2.2	2	16
33.5165	117.3381	1	3	2.3	2	16
33.5165	117.3381	1	3	3.1	3	18
33.5165	117.3381	1	3	4.1	4	18
33.5165	117.3381	1	3	4.4	4	16.5
33.5165	117.3381	1	3	5.2	5	16.5
33.5165	117.3381	1	3	5.5	5	17
33.5165	117.3381	1	3	6.1	6	18
33.5165	117.3381	1	3	7.1	7	11
33.5165	117.3381	1	3	7.2	7	13
33.5165	117.3381	1	3	9.4	9	17
33.5165	117.3381	1	3	9.5	9	18
33.5165	117.3381	1	3	10.2	10	19
33.5165	117.3381	1	3	10.3	10	18.5
33.5165	117.3381	1	3	12.1	12	17.5
33.5165	117.3381	1	3	12.4	12	16
33.5165	117.3381	1	3	13.1	13	17.5
33.5165	117.3381	1	3	13.2	13	17.5
33.5165	117.3381	1	3	14.1	14	15
33.5165	117.3381	1	3	14.4	14	18.5
33.5165	117.3381	1	3	16.1	16	17
33.5165	117.3381	1	3	16.3	16	17
33.5165	117.3381	1	3	18.1	18	17
33.5165	117.3381	1	3	18.2	18	17
33.5165	117.3381	1	3	3,x	3	17
33.5165	117.3381	1	3	6,x	6	17.5
34.5239	119.8335	2	5	7.3	7	16
34.5239	119.8335	2	5	7.5	7	17.5
34.5239	119.8335	2	5	17.2	5217	15
34.5239	119.8335	2	5	17.3	5217	16.5
34.5239	119.8335	2	5	19.1	5219	17.5
34.5239	119.8335	2	5	19.2	5219	18
34.7411	120.0136	2	7	1.1	1	19.5
34.7411	120.0136	2	7	4.2	4	16
34.7411	120.0136	2	7	5.2	5	16.5
34.7411	120.0136	2	7	6.1	6	16
34.7411	120.0136	2	7	7.1	7	16
34.7411	120.0136	2	7	10.3	10	16.5
34.7411	120.0136	2	7	12.1	12	17
34.7411	120.0136	2	7	13.1	13	16
34.7411	120.0136	2	7	15.1	15	17.5
34.7411	120.0136	2	7	16.1	16	17
34.7411	120.0136	2	7	17.4	17	18
34.7411	120.0136	2	7	18.1	18	19
34.7411	120.0136	2	7	21.1	21	18
34.7411	120.0136	2	7	22.2	22	17.5
34.7411	120.0136	2	7	23.5	23	17.5
34.7411	120.0136	2	7	1,x	1	18.5
34.7411	120.0136	2	7	10,x	10	17
34.7411	120.0136	2	7	12,x	12	18
34.7411	120.0136	2	7	13,x	13	16.5
34.7411	120.0136	2	7	15,x	15	18
34.7411	120.0136	2	7	16,x	16	18
34.7411	120.0136	2	7	17,x	17	17.5
34.7411	120.0136	2	7	18,x	18	19
34.7411	120.0136	2	7	21,x	21	17.5
34.7411	120.0136	2	7	22,x	22	18
34.7411	120.0136	2	7	23,x	23	18
34.7411	120.0136	2	7	4,x	4	16.5
34.7411	120.0136	2	7	5,x	5	17
34.7411	120.0136	2	7	6,x	6	16.5
34.7411	120.0136	2	7	7,x	7	16.5
37.1794	119.5124	4	8	2.1	2	17
37.1794	119.5124	4	8	2.4	2	15
37.1794	119.5124	4	8	6.2	6	15.5
37.1794	119.5124	4	8	6.3	6	16.5
37.6508	212.6025	4	8	21.2	21	18.5
37.6508	212.6025	4	8	22.1	22	17.5
37.5768	119.9486	3	10	1.1	1	19.5
37.5768	119.9486	3	10	1.2	1	20.5
37.5768	119.9486	3	10	3.2	3	17.5
37.5768	119.9486	3	10	3.5	3	17
37.5768	119.9486	3	10	4.1	4	19.5
37.5768	119.9486	3	10	4.3	4	17
37.5768	119.9486	3	10	6.1	6	17.5
37.5768	119.9486	3	10	6.3	6	14.5
37.5768	119.9486	3	10	9.2	9	16.5
37.5768	119.9486	3	10	9.4	9	18.5
37.5768	119.9486	3	10	11.1	11	17.5
37.5768	119.9486	3	10	11.2	11	19.5
37.5768	119.9486	3	10	14.3	14	16.5
37.5768	119.9486	3	10	14.4	14	18
37.5768	119.9486	3	10	15.1	15	20.5
37.5768	119.9486	3	10	15.3	15	18
37.5768	119.9486	3	10	16.1	16	18
37.5768	119.9486	3	10	16.2	16	18.5
37.5768	119.9486	3	10	19.1	19	18
37.5768	119.9486	3	10	19.3	19	18.5
37.5023	120.0687	3	11	2.1	2	20
37.5023	120.0687	3	11	2.4	2	19
37.5023	120.0687	3	11	4.1	4	19
37.5023	120.0687	3	11	4.4	4	19
37.5023	120.0687	3	11	6.1	6	21
37.5023	120.0687	3	11	6.2	6	19
37.5023	120.0687	3	11	7.1	7	19.5
37.5023	120.0687	3	11	7.3	7	18.5
37.5023	120.0687	3	11	11.1	11	19.5
37.5023	120.0687	3	11	11.5	11	19.5
37.5023	120.0687	3	11	12.1	12	18
37.5023	120.0687	3	11	12.2	12	19
37.5023	120.0687	3	11	15.2	15	19
37.5023	120.0687	3	11	15.3	15	17
37.5023	120.0687	3	11	16.2	16	18.5
37.5023	120.0687	3	11	16.3	16	18.5
37.5023	120.0687	3	11	17.3	17	19
37.5023	120.0687	3	11	20.1	20	18
37.5023	120.0687	3	11	20.3	20	19.5
37.5023	120.0687	3	11	17,x	17	18
37.1794	119.5124	3	13	1.2	1	21
37.1794	119.5124	3	13	1.3	1	20
37.1794	119.5124	3	13	4.2	4	21
37.1794	119.5124	3	13	4.3	4	20
37.1794	119.5124	3	13	5.1	5	20.5
37.1794	119.5124	3	13	5.2	5	20
37.1794	119.5124	3	13	6.2	6	19
37.1794	119.5124	3	13	6.5	6	19.5
37.1794	119.5124	3	13	10.2	10	18.5
37.1794	119.5124	3	13	10.3	10	19.5
37.1794	119.5124	3	13	11.2	11	19
37.1794	119.5124	3	13	11.4	11	8.5
37.1794	119.5124	3	13	17.1	17	19.5
37.1794	119.5124	3	13	17.2	17	22
37.1794	119.5124	3	13	19.1	19	21
37.1794	119.5124	3	13	19.2	19	21
37.6508	212.6025	4	17	4.1	4	18.5
37.6508	212.6025	4	17	4.5	4	18.5
37.6508	212.6025	4	17	5.1	5	18.5
37.6508	212.6025	4	17	5.3	5	20
37.6508	212.6025	4	17	6.1	6	17
38.7238	112.266	4	17	6.2	6	19
38.7238	112.266	4	17	7.1	7	18.5
38.7238	112.266	4	17	7.2	7	18
38.7238	112.266	4	17	8.1	8	16.5
38.7238	112.266	4	17	8.2	8	19.5
38.7238	112.266	4	17	9.1	9	20.5
38.7238	112.266	4	17	9.2	9	17
38.7238	112.266	4	17	13.1	13	17
38.7238	112.266	4	17	13.3	13	13.5
38.7238	112.266	4	17	15.3	15	17
38.7238	112.266	4	17	15.5	15	19
38.7238	112.266	4	19	3.1	3	19.5
38.7238	112.266	4	19	3.2	3	21.5
38.7238	112.266	4	19	5.1	5	18.5
38.7238	112.266	4	19	5.2	5	20.5
38.7238	112.266	4	19	6.1	6	18
38.7238	112.266	4	19	6.3	6	19
38.7238	112.266	4	19	9.1	9	19.5
37.3292	121.6813	4	19	9.2	9	17.5
37.3292	121.6813	4	19	10.2	10	21
37.3292	121.6813	4	19	10.4	10	19.5
37.3292	121.6813	4	19	15.3	15	20
37.3292	121.6813	4	19	15.4	15	20.5
37.3292	121.6813	4	19	16.2	16	19
37.3292	121.6813	4	19	16.3	16	19.5
37.3292	121.6813	4	19	17.1	17	20
37.3292	121.6813	4	19	17.2	17	17.5
37.3292	121.6813	4	19	19.2	19	18.5
37.3292	121.6813	4	19	19.4	19	18
37.3292	121.6813	4	19	20.1	20	20
37.3292	121.6813	4	19	20.2	20	20
34.5615	119.5615	2	61	3.2	3	20
34.5615	119.5615	2	61	3.3	3	21
34.5615	119.5615	2	61	4.1	4	22
34.5615	119.5615	2	61	4.4	4	21
34.5615	119.5615	2	61	10.2	10	16.5
34.5615	119.5615	2	61	10.3	10	17
34.5615	119.5615	2	61	17.3	17	20
34.5615	119.5615	2	61	17.4	17	20.5
34.5615	119.5615	2	61	19.3	19	18.5
34.5615	119.5615	2	61	19.5	19	19
34.5615	119.5615	2	61	22.1	22	20
34.5615	119.5615	2	61	22.3	22	21
34.5615	119.5615	2	61	23.2	23	21.5
34.5615	119.5615	2	61	23.5	23	17.5
34.5615	119.5615	2	61	24.3	24	19
34.5615	119.5615	2	61	24.4	24	19
34.5615	119.5615	2	61	26.2	26	20
34.5615	119.5615	2	61	26.3	26	22
34.5615	119.5615	2	61	27.1	27	19
34.5615	119.5615	2	61	27.4	27	20
34.5615	119.5615	2	61	29.2	29	20.5
34.5615	119.5615	2	61	29.3	29	20
34.5615	119.5615	2	61	30.1	30	19
34.5615	119.5615	2	61	30.2	30	19.5
34.5615	119.5615	2	61	31.3	31	18
34.5615	119.5615	2	61	31.5	31	21
34.5615	119.5615	2	61	32.3	32	19.5
34.5615	119.5615	2	61	32.4	32	16.5
34.5615	119.5615	2	61	34.4	34	17.5
34.5615	119.5615	2	61	34.5	34	18
37.3292	121.6813	4	142	3.2	3	17.5
37.3292	121.6813	4	142	3.3	3	15.5
37.3292	121.6813	4	142	4.1	4	17.5
37.3292	121.6813	4	142	4.2	4	18
37.3292	121.6813	4	142	5.1	5	17
37.3292	121.6813	4	142	5.4	5	17
37.3292	121.6813	4	142	10.1	10	16
37.3292	121.6813	4	142	10.3	10	17.5
37.3292	121.6813	4	142	12.2	12	18
37.3292	121.6813	4	142	12.4	12	18
37.3292	121.6813	4	142	15.1	15	17
38.6441	122.3735	4	142	15.4	15	16
38.6441	122.3735	4	142	15.5	15	19
38.6441	122.3735	4	142	16.3	16	19.5
38.6441	122.3735	4	142	16.4	16	18
38.6441	122.3735	4	142	18.1	18	17
38.6441	122.3735	4	142	18.4	18	17.5
38.6441	122.3735	4	142	19.1	19	17
38.6441	122.3735	4	142	19.2	19	19
38.6441	122.3735	4	151	3.2	3	19
38.6441	122.3735	4	151	3.3	3	9.5
38.6441	122.3735	4	151	4.1	4	20
38.6441	122.3735	4	151	4.5	4	17.5
38.6441	122.3735	4	151	5.3	5	19.5
38.6441	122.3735	4	151	5.5	5	18
38.6441	122.3735	4	151	7.3	7	18.5
38.6441	122.3735	4	151	8.2	8	18
38.6441	122.3735	4	151	8.3	8	18
38.6441	122.3735	4	151	9.1	9	18
38.6441	122.3735	4	151	9.2	9	19.5
38.6441	122.3735	4	151	10.2	10	18.5
38.6441	122.3735	4	151	10.3	10	19.5
38.6441	122.3735	4	151	11.3	11	19.5
38.6441	122.3735	4	151	11.5	11	20
38.6441	122.3735	4	151	12.3	12	17.5
38.6441	122.3735	4	151	12.4	12	16
38.6441	122.3735	4	151	13.1	13	17.5
38.6441	122.3735	4	151	13.2	13	19.5
38.6441	122.3735	4	151	14.3	14	18
38.6441	122.3735	4	151	14.4	14	17.5
38.6441	122.3735	4	151	16.2	16	19.5
38.5845	122.3733	4	151	16.5	16	20.5
38.5845	122.3733	4	151	17.1	17	19.5
38.5845	122.3733	4	151	17.2	17	18
38.5845	122.3733	4	151	18.1	18	19.5
38.5845	122.3733	4	151	18.2	18	19.5
38.5845	122.3733	4	151	19.1	19	17
38.5845	122.3733	4	151	19.2	19	18.5
38.5845	122.3733	4	151	20.4	20	17
38.5845	122.3733	4	151	20.5	20	15
