country,pop,sire,dam,flowering.start.jd,petal.width.mm,petal.length.mm,fruits,flowers,rosette.size.cm2,inflorescences,leaf.damage.percent
sweden,STUS,STUS42,STUS425,144,2.9,3.5666666667,4,10,1.168319038,1,0
sweden,STUC,STUC54,STUC542,151,3.1333333333,3.3,3,5,1.079490506,1,0
sweden,STUS,STUS49,STUS493,140,3.4666666667,3.1,6,22,3.096353719,2,20
norway,VIS,VIS7,VIS75,140,2.55,1.9666666667,13,18,1.648393665,3,20
norway,VIS,VIS6,VIS65,144,3.7666666667,3.6,5,9,1.372326211,3,15
norway,SPIT,SPIT19,SPIT194,148,3.15,2.0666666667,0,3,2.643178979,1,20
norway,SPIT,SPIT22,SPIT223,140,2.5,1.9333333333,6,15,2.547517483,2,0
sweden,STUS,STUS43,STUS434,174,3.6,3.6,2,6,1.499482174,2,0
norway,SPIT,SPIT21,SPIT212,140,3.5,2.4666666667,8,19,2.840156838,2,15
sweden,STUS,STUS24,STUS244,146,3.7,4.2666666667,8,10,2.107992963,1,5
norway,VIS,VIS55,VIS555,140,3.1,4.5,6,14,2.630396624,1,0
sweden,STUS,STUS33,STUS331,144,3.7666666667,3.3,6,18,1.575194557,3,0
sweden,STUC,STUC38,STUC385,146,2.5,2.4333333333,2,6,0.8435647514,2,10
sweden,STUS,STUS9,STUS94,140,3.15,2.3,4,13,1.839834468,1,0
sweden,STUS,STUS62,STUS621,140,3.1,1.9666666667,8,25,3.188402384,3,0
sweden,STUC,STUC65,STUC652,140,3.4333333333,4.3666666667,4,13,3.110255267,2,10
sweden,STUS,STUS2,STUS21,144,3.5333333333,3.6333333333,5,18,1.740835029,2,0
sweden,STUC,STUC33,STUC334,140,2.9,1.8333333333,3,10,0.9193046233,1,0
sweden,STUC,STUC13,STUC132,144,3.9666666667,3.9,4,11,1.390036939,1,0
sweden,STUS,STUS33,STUS334,144,4.0666666667,4.5333333333,12,43,3.722551675,3,0
sweden,STUS,STUS13,STUS131,144,3.0333333333,3.2333333333,7,22,1.029217169,2,0
sweden,STUC,STUC61,STUC615,144,3,3.0333333333,5,15,1.112202339,1,0
norway,SPIT,SPIT26,SPIT264,137,3.6,4,12,27,3.440845062,5,15
sweden,STUC,STUC12,STUC121,137,2.7666666667,2.8333333333,7,16,0.9951858668,2,0
norway,VIS,VIS70,VIS701,140,4.5,4.1666666667,0,10,4.030270675,3,10
sweden,STUS,STUS15,STUS151,144,4.15,3.2333333333,5,14,5.913152816,1,0
sweden,STUS,STUS69,STUS694,140,3.2333333333,3.6,6,22,4.210755173,2,0
sweden,STUS,STUS1,STUS13,144,2.9,3.2666666667,3,17,2.715199991,2,20
sweden,STUC,STUC2,STUC25,144,2.9333333333,3.5333333333,4,11,0.9393362034,1,0
norway,VIS,VIS55,VIS555,140,4.1,4.2,7,17,7.238881354,1,0
sweden,STUS,STUS60,STUS601,140,3.4333333333,3.6,11,24,1.221451224,2,0
sweden,STUC,STUC44,STUC443,144,3.5666666667,3.7333333333,3,7,2.355440508,1,0
sweden,STUS,STUS5,STUS55,146,4.3,3.3,1,7,1.860451169,1,0
sweden,STUC,STUC41,STUC412,146,2.8333333333,3.2333333333,2,7,2.179762647,1,0
sweden,STUC,STUC2,STUC23,161,3.3,3.2666666667,3,13,1.052056548,1,0
sweden,STUC,STUC25,STUC253,140,4.2,4.0333333333,6,13,1.66759665,1,20
sweden,STUS,STUS34,STUS345,140,2.8333333333,3.7,13,31,1.77638215,3,0
sweden,STUS,STUS62,STUS623,140,3.6666666667,3.6,18,39,1.120087737,2,0
sweden,STUS,STUS13,STUS131,146,3.4666666667,3.5666666667,5,11,1.683477401,1,20
sweden,STUS,STUS43,STUS433,140,3.5666666667,3.4,6,15,1.561450089,1,0
norway,VIS,VIS67,VIS671,140,3.4,4.1,31,64,6.086050368,6,20
sweden,STUS,STUS40,STUS402,144,3.9333333333,4.2,3,29,11.27203444,3,0
sweden,STUC,STUC44,STUC441,140,4.2666666667,4.7333333333,9,30,4.39086268,6,0
sweden,STUS,STUS35,STUS354,140,2.7666666667,3.4666666667,19,56,3.509787313,4,0
sweden,STUS,STUS1,STUS13,140,3.0666666667,2.8,6,13,2.376552011,2,10
sweden,STUS,STUS13,STUS132,140,3.6666666667,4.1333333333,13,30,6.234427789,4,10
sweden,STUC,STUC47,STUC472,144,2.6666666667,3.7666666667,8,22,0.6974335691,3,0
sweden,STUC,STUC20,STUC204,140,3.85,2.5,9,19,4.263848089,2,10
norway,VIS,VIS45,VIS454,146,3.1,1.9,4,13,4.819203131,1,0
norway,VIS,VIS45,VIS454,140,3,2.5,6,12,6.076908334,1,0
sweden,STUS,STUS45,STUS452,144,2.7333333333,3.2,5,14,3.876348343,2,5
norway,SPIT,SPIT32,SPIT323,137,2.6666666667,2.8,40,92,18.88882583,7,10
sweden,STUS,STUS3,STUS33,140,2.5333333333,2.6,9,24,3.414282896,3,0
sweden,STUS,STUS66,STUS663,137,3,2.9,13,35,3.365564648,2,15
sweden,STUS,STUS9,STUS92,144,2.55,1.8666666667,3,7,2.563775225,1,10
sweden,STUS,STUS38,STUS385,154,3,3.3,0,3,1.847884799,1,0
sweden,STUC,STUC32,STUC323,154,3.3,2.0333333333,0,2,3.695533978,2,0
sweden,STUS,STUS37,STUS375,148,2.7333333333,2.7333333333,10,26,3.118816107,1,10
sweden,STUC,STUC18,STUC181,144,2.6,2.5,0,6,1.093588403,1,10
sweden,STUS,STUS3,STUS31,144,2.6666666667,2.5666666667,1,8,1.657661364,1,5
sweden,STUC,STUC69,STUC692,140,3.8,3.3,5,27,2.094986769,4,0
norway,VIS,VIS66,VIS664,137,3.2,4.1,9,16,4.609564653,1,10
sweden,STUC,STUC42,STUC421,146,3.2666666667,2.6666666667,2,4,3.989351431,1,0
sweden,STUS,STUS26,STUS264,140,3.2,3.2666666667,11,25,4.226620216,4,10
norway,SPIT,SPIT51,SPIT515,137,3.5666666667,3.8333333333,9,20,5.435033831,2,0
norway,SPIT,SPIT51,SPIT514,137,3.2666666667,3.2,5,11,3.762685521,1,0
norway,VIS,VIS7,VIS72,140,2.8,2.5,4,8,2.783749542,1,20
sweden,STUS,STUS60,STUS605,140,3.6666666667,4.2333333333,11,25,4.644530579,2,0
norway,SPIT,SPIT46,SPIT464,140,1.7,1.4,6,12,4.269895655,1,0
sweden,STUC,STUC45,STUC451,151,3.3,3.2,4,10,4.506614662,2,0
sweden,STUS,STUS24,STUS244,140,3.2333333333,3.2,11,23,1.737991888,2,10
sweden,STUS,STUS16,STUS162,144,3.6666666667,3.0666666667,13,31,5.511924311,1,0
sweden,STUC,STUC36,STUC365,151,3.5,2.4,3,7,0.221105291,1,0
sweden,STUS,STUS54,STUS545,144,3.2,3.4333333333,8,19,5.580096871,4,5
norway,SPIT,SPIT51,SPIT511,140,3.3,2.8666666667,4,7,3.784990829,2,0
norway,VIS,VIS26,VIS265,140,3.5,2.1333333333,4,11,5.337063264,1,0
sweden,STUS,STUS6,STUS62,148,3.2333333333,2.9666666667,3,19,4.744810217,3,0
sweden,STUS,STUS1,STUS14,144,3.0666666667,3.4666666667,6,14,3.197261675,3,10
sweden,STUC,STUC57,STUC574,157,3.75,2.4333333333,1,4,1.329396347,1,0
sweden,STUC,STUC7,STUC72,148,3.1333333333,3.3,3,8,1.429424657,1,0
sweden,STUC,STUC19,STUC193,140,3.1,3,3,7,1.64619455,3,0
sweden,STUC,STUC32,STUC325,144,2.9333333333,2.7666666667,9,16,2.820364805,1,0
sweden,STUS,STUS33,STUS331,144,3.3,3.0333333333,23,56,8.059441794,7,10
norway,VIS,VIS64,VIS641,137,3,2.8666666667,12,28,8.056991351,4,0
sweden,STUC,STUC20,STUC202,140,3.3666666667,3.2333333333,1,5,0.9391319999,1,10
norway,VIS,VIS28,VIS285,140,2.5333333333,2.7333333333,4,8,1.232006975,1,10
norway,SPIT,SPIT57,SPIT575,137,3.9,3.2333333333,20,47,11.60567158,6,10
sweden,STUC,STUC61,STUC614,140,2.8,3.7,1,5,1.24163203,1,0
norway,SPIT,SPIT21,SPIT215,140,2.9,3,6,14,3.265497068,1,0
sweden,STUC,STUC42,STUC422,154,2.9333333333,3.1666666667,2,10,1.167023131,3,0
norway,SPIT,SPIT62,SPIT624,140,3.0666666667,3.7,16,31,5.806668533,3,0
norway,VIS,VIS7,VIS75,144,2.95,2.2666666667,3,6,3.439101478,1,0
sweden,STUC,STUC25,STUC254,130,2.6,2.8333333333,1,9,2.731065034,2,0
norway,SPIT,SPIT4,SPIT41,140,2.9,3.2333333333,5,14,1.847633471,1,0
sweden,STUC,STUC33,STUC334,144,3.4333333333,3.0333333333,7,17,2.07250082,1,0
norway,VIS,VIS59,VIS593,140,2.9,4,3,8,2.396842772,3,0
sweden,STUC,STUC12,STUC124,140,3.3333333333,3.6333333333,1,14,2.690585612,3,10
norway,VIS,VIS69,VIS693,140,2.9666666667,3.5,15,31,3.846943036,3,0
norway,VIS,VIS14,VIS143,140,2.8666666667,3.2,4,9,1.987685672,1,10
sweden,STUS,STUS35,STUS354,144,2.8,3.7,5,10,1.776829827,1,0
norway,VIS,VIS45,VIS454,144,4.2,4.4,1,5,3.411078471,1,10
sweden,STUC,STUC19,STUC193,140,3.5333333333,3.5,10,29,1.698211471,6,10
norway,SPIT,SPIT57,SPIT573,137,2.6,1.7,26,54,4.115109385,5,15
sweden,STUS,STUS66,STUS662,140,2.9666666667,3.5,9,27,2.80782985,6,0
sweden,STUC,STUC1,STUC13,144,3.1,2.4,1,7,1.375766255,1,0
norway,SPIT,SPIT44,SPIT441,137,2.4,2.8,20,46,5.268144575,5,0
sweden,STUC,STUC27,STUC274,154,3.4,2.1,5,5,0.4936463076,1,0
sweden,STUC,STUC22,STUC224,148,3,2.0666666667,3,6,1.19705283,1,0
norway,VIS,VIS18,VIS182,144,4.2,4,2,6,1.854442874,1,10
norway,SPIT,SPIT64,SPIT644,137,2.9666666667,2.4,19,44,2.962019218,5,0
sweden,STUS,STUS35,STUS352,144,3.9,2.8666666667,4,13,3.198581144,1,20
sweden,STUC,STUC19,STUC191,140,3.2,3.5,1,3,1.830103384,1,0
norway,VIS,VIS20,VIS204,137,2.7333333333,2.5333333333,6,12,1.300776438,2,10
sweden,STUC,STUC30,STUC305,144,3.2,2.9666666667,3,7,3.390163318,1,0
sweden,STUC,STUC38,STUC383,151,2.8333333333,3.2333333333,9,13,1.170683086,1,0
sweden,STUS,STUS20,STUS204,171,3.65,2.3666666667,3,15,1.752019099,3,0
sweden,STUC,STUC50,STUC501,140,3.65,1.9666666667,8,16,1.858566214,1,10
sweden,STUS,STUS32,STUS324,140,3.7666666667,4.1666666667,12,44,3.238416539,4,0
norway,VIS,VIS63,VIS635,137,3.5,3.9666666667,9,33,12.70309273,3,10
norway,SPIT,SPIT69,SPIT693,144,3.05,2.3,4,9,2.578689936,1,10
norway,SPIT,SPIT61,SPIT613,140,2.8,2.7,2,8,1.868870638,1,0
sweden,STUS,STUS17,STUS171,140,2.4,2.6,5,15,1.89438037,1,10
sweden,STUS,STUS35,STUS354,140,3.1,3.2666666667,9,21,4.474130594,1,10
sweden,STUS,STUS3,STUS34,144,3.9333333333,3.9,4,11,4.045491692,1,30
sweden,STUS,STUS9,STUS91,144,3.2666666667,3.7666666667,3,9,1.468694566,1,0
sweden,STUS,STUS60,STUS605,140,3.8333333333,3.8666666667,3,12,2.412154109,1,10
norway,VIS,VIS18,VIS185,146,3.6333333333,3.9,0,7,5.284158843,1,10
norway,VIS,VIS6,VIS62,140,3.4,3.0666666667,8,19,6.91326313,1,0
norway,SPIT,SPIT7,SPIT71,137,2.5,3.0333333333,39,101,14.32406029,11,0
sweden,STUS,STUS36,STUS364,140,2.9666666667,3.2333333333,9,34,4.183470441,1,10
sweden,STUC,STUC57,STUC572,154,2.9,2.1,1,4,0.5615596868,1,0
sweden,STUC,STUC2,STUC24,140,2.95,1.9,7,16,4.31296689,3,0
sweden,STUC,STUC21,STUC214,140,3.5333333333,3.3333333333,10,20,2.199036318,3,10
norway,SPIT,SPIT13,SPIT132,140,1.9,2.7,1,2,2.171009384,1,0
norway,SPIT,SPIT52,SPIT522,140,2.8333333333,3.0333333333,8,20,9.940195505,2,0
norway,VIS,VIS14,VIS145,140,3.1,2.1666666667,4,7,1.255474672,1,0
norway,VIS,VIS56,VIS564,140,3.2333333333,3.4,30,79,10.93559343,7,0
