Ecotype,Population,VegHeight,MSL_W,SB,MSD,Area,P2A2,Circularity,Nindents.Peri,IndentWidth,IndentDepth
Dune_N,D0,354,0.459259259,16,4.31,613.4681354,0.159501696,37.15737864,0.110201905,5.127754265,1.202010677
Dune_N,D0,317,0.318421053,16,4.58,321.3668355,0.220129288,51.48250494,0.165805922,4.075964702,0.765862617
Dune_N,D0,309,0.389542484,16,5.09,438.0738137,0.164009451,35.24635037,0.118368887,6.221302432,1.5839501
Dune_N,D0,327,0.538593482,15,4.68,447.9118639,0.186158229,31.04999317,0.087966079,7.599281976,1.392851504
Dune_N,D0,376,0.463810931,17,4.65,406.741222,0.287130894,64.19618872,0.133057649,4.365728604,1.163324596
Dune_N,D0,376,0.604143948,16,4.08,373.4623302,0.173551771,50.66275819,0.147831338,4.632666986,1.053358528
Dune_N,D0,405,0.544334975,19,4.08,450.554286,0.13155902,38.00109687,0.122383412,6.137859227,0.65971063
Dune_N,D0,349,0.330472103,15,4,299.8438809,0.293381219,26.07560192,0.086201871,8.919008054,1.581382731
Dune_N,D0,375,0.54375,18,5.14,999.7732055,0.058903297,39.15766162,0.090667447,8.04574778,1.495532149
Dune_N,D0,415,1.081481481,19,4.57,440.744649,0.265781617,41.27190547,0.105623784,4.812255072,1.552977035
Dune_N,D0,283,0.531204644,19,4.94,695.8662454,0.053964098,36.95084407,0.098978701,8.831235561,0.563565847
Dune_N,D0,371,0.52876377,15,4.55,514.0434504,0.161885786,39.17123016,0.072524889,8.942489713,1.854636866
Dune_N,D0,305,0.472952087,21,3.98,508.8509488,0.090271914,44.05737859,0.065408334,12.07757897,0.728777744
Dune_N,D0,317,0.5,16,5.86,1219.023211,0.024220678,51.18606581,0.110691474,7.194248535,0.591497273
Dune_N,D1,231,0.438430311,17,4.35,466.7781898,0.123967366,45.67450771,0.146031653,4.262378621,1.170285608
Dune_N,D1,242,0.32748538,16,3.85,743.7636984,0.409762731,29.39074773,0.069312687,13.52355509,2.016570683
Dune_N,D1,300,0.294623656,12,4.04,820.9266871,0.087911338,45.85169591,0.098601704,6.612599145,1.759998547
Dune_N,D1,277,0.525498891,13,4.92,605.0152258,0.603353981,24.97159788,0.068092234,10.09411565,2.91391593
Dune_N,D1,317,0.466666667,14,4.28,469.8894287,0.097513659,45.87170471,0.136301801,5.07514984,0.952682296
Dune_N,D1,377,0.487179487,16,5.2,696.8749119,0.222245651,32.9188203,0.076097177,7.257143035,2.742098329
Dune_N,D1,303,0.23255814,15,3.93,602.280461,0.126436086,54.02995248,0.144752942,4.697720465,1.055141167
Dune_N,D1,357,0.316185696,17,5.06,515.1799761,0.25719629,27.73691822,0.114823275,6.380659769,1.419514804
Dune_N,D1,339,0.321187584,14,4.61,1126.389267,0.060122238,46.69648759,0.119483481,5.226786666,1.706443183
Dune_N,D1,379,0.422569028,12,4.57,641.1141219,0.091818551,57.51367974,0.082360585,6.984253647,1.87527527
Dune_N,D1,253,0.399399399,12,4.31,630.5302268,0.06898784,59.69838158,0.150955112,4.623359866,1.055100434
Dune_N,D1,274,0.212368728,13,3.94,681.7520174,0.095900718,52.16588339,0.123150445,5.307222131,1.473426458
Dune_N,D1,372,0.307496823,11,3.98,642.2009246,0.124722499,38.19241277,0.10141087,6.233637651,1.714959667
Dune_N,D1,222,0.188331627,14,4.51,549.3893983,0.134654559,48.09433954,0.114087229,6.172115395,1.414009418
Dune_N,D1,263,0.261519303,12,4.09,575.5294884,0.109725938,37.07434699,0.099662407,7.232801764,1.139330327
Dune_N,D1,281,0.222936763,12,4.16,465.8973824,0.149727057,38.45645918,0.144222471,5.963847013,0.692198673
Dune_N,D1,281,0.391076115,18,4.3,497.7129974,0.191611862,33.05664213,0.105569304,6.448473394,1.592343952
Dune_N,D3,378,0.35755814,13,4.75,757.0255322,0.144127537,49.13782669,0.107864289,4.840690752,1.44537364
Dune_N,D3,271,0.212885154,13,4.03,634.9626768,0.570811412,26.36746127,0.058366481,12.43723619,3.13181346
Dune_N,D3,274,0.270986745,13,4.74,816.6931291,0.070450387,46.71864607,0.133781913,4.824662407,1.237216714
Dune_N,D3,289,0.377682403,13,4.92,1406.17347,0.036396091,56.40101692,0.123012054,5.513324645,1.382219234
Dune_N,D3,291,0.248995984,12,3.59,987.5910711,0.065896237,47.34074518,0.114390652,5.691617348,1.362787774
Dune_N,D3,254,0.302452316,13,3.93,849.7305092,0.052859579,51.18840558,0.153560032,4.445081558,1.170232421
Dune_N,D3,305,0.250960307,15,3.49,642.3145772,0.09777139,73.79117823,0.124476204,4.880998575,1.636041826
Dune_N,D3,266,0.24265645,12,3.65,382.0430989,0.156108199,47.17514737,0.158995937,4.597807036,0.866482033
Dune_N,D3,367,0.15704388,11,3.38,720.6851244,0.074374702,48.51734336,0.147550206,3.976811935,0.462382152
Dune_N,D3,225,0.314685315,14,4.12,970.138299,0.037700492,61.90600358,0.185806493,3.756180553,0.959022646
Dune_N,D3,304,0.267605634,12,4.02,699.0485172,0.086541472,48.66946216,0.131293827,5.368020589,1.360989616
Dune_N,D3,251,0.273399015,14,4.45,805.5409711,0.046048481,62.06274544,0.133055412,5.727767745,0.948014272
Dune_N,D3,217,0.383529412,12,4.3,332.5118902,0.095780308,60.26857909,0.19435007,4.022762232,0.687430902
Dune_N,D3,321,0.425948592,13,4.2,746.1504023,0.135012703,49.17774489,0.124012432,3.549958454,1.448188282
Dune_N,D3,318,0.357380688,15,4.38,821.8074945,0.035996686,56.96905831,0.192406569,4.495999776,0.755827139
Dune_N,D3,322,0.292225201,11,4.3,893.3233713,0.063122501,46.446391,0.106932678,5.713060684,0.786680996
Dune_N,D3,302,0.380634391,14,4.02,524.0661861,0.134802767,61.78350943,0.171505637,4.474363733,0.813194547
Dune_N,D4,403,0.713888889,21,5.32,662.0901236,0.10038639,56.33036901,0.143010106,4.460979887,1.277984659
Dune_N,D4,431,0.547291093,24,5.19,797.6421178,0.087218122,38.23543301,0.097637442,6.910843682,1.827826342
Dune_N,D4,412,0.38701623,17,4.3,713.7025949,0.106460004,36.25728193,0.124533869,6.421595954,1.336906485
Dune_N,D4,442,0.454672245,18,5.41,1112.08325,0.064920235,59.66676341,0.095287608,6.890045098,1.374477185
Dune_N,D4,475,0.684684685,21,5.9,1222.816365,0.071921583,54.28021176,0.100628982,5.381811173,1.594363851
Dune_N,D4,487,0.455673759,19,5.76,561.1027158,0.129523373,53.64354075,0.138656932,4.475943979,1.303720042
Dune_N,D4,377,0.390202703,18,4.79,1488.038833,0.053453572,55.1405196,0.107547196,5.332386003,1.338069292
Dune_N,D4,481,0.677261614,19,5.76,853.7935884,0.061292671,53.07074393,0.175042925,4.602570512,0.948778588
Dune_N,D4,335,0.315196998,23,4.56,646.3208301,0.133696172,67.2671174,0.093092575,6.131780396,1.629548226
Dune_N,D4,342,0.470479705,24,5.05,1229.145393,0.063741212,30.49695078,0.093451136,8.510545697,1.586274669
Dune_N,D4,372,0.467243511,17,5.38,2266.65125,0.022054945,53.86603015,0.083180273,8.517134193,2.076038061
Dune_N,D4,465,0.68287037,19,3.59,852.6428562,0.068355946,45.82622027,0.103174537,8.144117471,0.960211883
Dune_N,D4,415,0.418554477,15,4.64,1312.800784,0.077775218,40.63489765,0.084672474,7.367725109,1.896698704
Head_N,H0,76,0.133748056,15,3.47,177.8378519,0.247150691,38.39960959,0.090486725,7.445534694,0.450240369
Head_N,H0,91,0.132985658,14,2.83,100.4759712,0.611176518,40.26172026,0.165499928,5.038983722,0.421471188
Head_N,H0,123,0.165670367,17,2.89,350.1777608,0.138094611,40.33159561,0.130638744,5.161719442,0.441509432
Head_N,H0,155,0.314814815,16,3.04,265.5137028,0.169237026,39.75443628,0.119016924,9.832299214,0.795325644
Head_N,H0,127,0.150537634,17,3.01,220.5783198,0.182807406,49.02041706,0.159049219,5.716704561,0.446665755
Head_N,H0,154,0.111969112,14,2.81,199.2968769,0.43466083,30.97959228,0.083717633,9.363165129,1.214252437
Head_N,H0,75,0.121883657,16,2.39,255.1784227,0.215953158,39.10592781,0.134926189,6.216715221,0.966801133
Head_N,H0,114,0.178899083,14,2.6,200.3055434,0.237405318,45.63290269,0.143446464,5.165116484,0.756141864
Head_N,H0,197,0.099310345,17,2.35,194.5234691,0.526677628,28.79150559,0.127505249,4.034810062,0.581047251
Head_N,H0,135,0.102564103,16,2.35,206.4782984,0.257012134,50.95745517,0.171957562,4.478038218,0.527225613
Head_N,H0,125,0.174089069,19,3.06,299.6165758,0.190349256,38.51053969,0.152998991,5.6962759,0.971064279
Head_N,H0,127,0.169680111,16,2.67,222.6027561,0.391217499,36.75111815,0.13646269,4.537208359,1.179165656
Head_N,H0,86,0.142480211,14,2.82,200.0995481,0.224129833,43.69660673,0.147785591,4.394677925,0.478429238
Head_N,H0,96,0.150664697,14,3.05,249.65917,0.311393773,38.94027226,0.122024332,4.971300653,0.993533911
Head_N,H0,121,0.195067265,17,2.83,161.6707744,0.332434798,32.85257971,0.118007043,7.275131989,0.497633622
Head_N,H0,139,0.126291619,16,2.78,263.2051351,0.38829001,31.01815785,0.115846024,5.997325862,0.941369807
Head_N,H1,129,0.111702128,14,3.2,318.1916669,0.292831904,36.4625203,0.087115064,6.616867438,2.591434772
Head_N,H1,162,0.245654693,18,3.96,219.2784185,0.773356109,39.99186501,0.093344096,4.896050491,2.166293455
Head_N,H1,83,0.104738155,18,3.21,250.3268788,0.323755907,45.36459548,0.126373545,5.024035589,1.629173145
Head_N,H1,93,0.093896714,15,2.91,249.7515127,0.178220487,47.34441393,0.132782578,5.099058292,1.228142187
Head_N,H1,123,0.155172414,16,3.52,357.550971,0.219812762,43.06580207,0.119306906,5.814809993,1.28979415
Head_N,H1,121,0.121045392,15,3.1,358.5312244,0.302319205,62.7344069,0.106526938,4.414001446,1.181556447
Head_N,H1,152,0.221628838,17,2.89,219.2926251,0.258932866,40.50967717,0.143384553,6.087731384,1.383683758
Head_N,H1,121,0.115127175,14,3.38,232.1637782,0.294545723,38.11666925,0.095238034,5.83036865,1.739549509
Head_N,H1,132,0.226537217,15,3.07,219.015597,0.245663649,49.36597113,0.110544147,6.862705905,1.579871676
Head_N,H1,209,0.178957719,18,3.39,263.0559661,0.176697587,47.67137891,0.180869997,4.370915137,0.973095629
Head_N,H1,127,0.112820513,13,3.37,249.0553907,0.554762956,35.52338355,0.11859681,4.097612261,1.680854651
Head_N,H1,103,0.113043478,16,2.64,377.4543766,0.124149315,50.65023018,0.127823967,6.408846107,1.045212125
Head_N,H1,127,0.101654846,16,3.57,323.5972671,0.253462246,38.84851263,0.122763288,6.167364834,1.433702049
Head_N,H1,136,0.144303797,17,3.27,304.7664577,0.164583068,58.72436728,0.129407736,6.156033244,1.043993492
Head_N,H1,177,0.300248139,23,3.56,245.9938747,0.134644809,53.1606369,0.177255974,4.285119976,0.719502581
Head_N,H1,113,0.189376443,14,3.09,374.0234897,0.750288454,29.40376776,0.058646296,11.81703129,2.916328231
Head_N,H2,100,0.138655462,18,3.12,301.3781905,0.120054441,53.17084211,0.201102911,4.239008758,0.722809401
Head_N,H2,66,0.098684211,15,3.1,239.6009179,0.137195241,55.17355004,0.20282174,3.938539695,0.684547082
Head_N,H2,142,0.307524537,17,3.68,400.5968802,0.078887223,46.0218666,0.142203107,6.309180448,0.833644118
Head_N,H2,153,0.214285714,17,4.32,689.2886031,0.040309125,53.74380804,0.151745741,5.805325516,0.879325964
Head_N,H2,181,0.250306748,16,4.37,571.3740664,0.077392983,47.77595758,0.125822606,6.612136702,0.814822381
Head_N,H2,152,0.21470245,16,4.11,337.6546688,0.117964304,52.66525853,0.112097335,7.527588737,1.011737499
Head_N,H2,100,0.155813953,15,3.37,345.6316582,0.074454749,55.89720127,0.148445938,5.702159989,0.640002667
Head_N,H2,106,0.205923836,17,3.02,343.0531657,0.078992971,72.61499488,0.207431325,4.322008625,0.639624252
Head_N,H2,111,0.131752306,14,3.55,344.9426396,0.113032248,49.33909918,0.137965951,5.355605388,0.771669111
Head_N,H2,77,0.234332425,17,2.76,341.4762363,0.075733499,53.10455654,0.1596198,5.226356416,0.554084821
Head_N,H2,53,0.287981859,15,2.67,315.1940805,0.12876807,76.08444854,0.185668038,3.950841909,0.878610582
Head_N,H2,122,0.178238342,18,2.79,567.7727008,0.042757517,62.97573702,0.178870429,4.897763621,0.750658353
Head_N,H2,111,0.120576671,15,3.44,304.2337113,0.143830664,45.02976756,0.138671401,5.97647639,1.029176892
Head_N,H2,85,0.21971831,15,3.15,228.4984829,0.111673214,51.50340737,0.117864951,6.422003468,0.805733303
Head_N,H2,121,0.250295159,18,3.2,317.3179629,0.092648668,58.38665041,0.124241589,5.078110494,1.161697825
Head_N,H2,71,0.3,19,3.05,390.5670413,0.079789799,73.60465219,0.081578034,4.461032074,0.421248889
Head_N,H5,53,0.258467023,22,2.53,348.3806297,0.15568945,34.00973163,0.123670276,7.397080971,0.528580684
Head_N,H5,84,0.131555556,17,2.46,435.16857,0.075634669,48.99622127,0.116979581,6.941633051,0.547238876
Head_N,H5,103,0.256042972,19,2.28,132.7604031,0.223083786,90.67538139,0.159476771,5.896295153,0.492791746
Head_N,H5,152,0.22327791,21,3.2,304.475223,0.114044674,43.55081542,0.184783905,5.035700346,0.454716431
Head_N,H5,88,0.197752809,18,2.42,149.5596729,0.274070111,52.06490371,0.217121873,3.970069679,0.525286517
Head_N,H5,53,0.193343899,19,2.57,202.8698294,0.156422142,44.30156507,0.149559728,6.238387328,0.52955977
Head_N,H5,71,0.161033797,20,2.67,157.8065872,0.340760565,50.35925462,0.151977132,6.07833532,0.716133671
Head_N,H5,63,0.188898094,18,2.52,278.7968464,0.196404524,35.44204985,0.161870011,5.551318525,0.679059224
Head_N,H5,85,0.2249742,15,2.99,192.0941455,0.256799972,35.03401378,0.164364631,5.280087678,0.622465159
Head_N,H5,75,0.203454894,16,2.38,184.0958462,0.278631297,36.18103294,0.164649738,5.509681492,0.417800005
Head_N,H5,247,0.271777003,18,3.14,175.6642465,0.304960193,60.30618091,0.164935837,3.95975603,0.463989126
Head_N,H5,48,0.288659794,21,2.54,236.4257494,0.155727372,85.60233305,0.117900442,7.796864136,0.836481259
Head_N,H5,74,0.29389313,18,3.05,390.361046,0.146370565,43.62267464,0.18078834,4.209245623,0.633144838
Head_N,H5,157,0.230031949,22,2.37,235.84328,0.192265505,38.46868124,0.135379792,6.529783427,0.655934697
Head_N,H5,109,0.260869565,21,2.91,339.5299361,0.115480861,39.50477634,0.130004439,7.106719613,0.54751793
Head_N,H5,102,0.246603971,17,2.92,118.6106587,0.384804651,37.06496035,0.095138033,7.672061301,0.904656283
Tableland,T1,483,0.806372549,20,7.83,1231.809125,0.078425251,40.89073406,0.156538939,3.400452267,1.202703101
Tableland,T1,535,0.58148631,21,7.09,1201.506509,0.043432248,42.48568972,0.215655966,3.515475583,0.863066548
Tableland,T1,711,0.338926174,23,9.34,1929.756632,0.03001778,44.36413241,0.128610559,4.749604477,1.271221172
Tableland,T1,582,1.314199396,21,7.29,2262.410588,0.022449183,47.19139485,0.150452178,5.107006589,1.227663874
Tableland,T1,522,0.855403349,21,6.79,1237.83271,0.025973583,52.76339417,0.190482774,4.362289335,0.985252035
Tableland,T1,617,0.986149584,22,7.74,1011.699622,0.055424323,52.81187741,0.176338646,3.799357479,0.723455173
Tableland,T1,492,0.546091015,21,6.05,1550.093134,0.049622153,83.02366937,0.156386106,4.151215115,1.119809611
Tableland,T1,634,0.929088278,23,6.09,1650.419936,0.04112161,43.36314143,0.185251687,4.131976487,1.037432527
Tableland,T1,455,0.689119171,26,7.53,1285.346586,0.04129162,50.26825029,0.149318425,5.406077591,1.076126412
Tableland,T1,606,1.311294766,25,8.54,1576.020126,0.038141457,46.37317186,0.152699445,3.749480714,0.929865672
