Type,Block,ID,Replicate,Family,dam,sire,Height,MSL_W,SB,MSD,Area,P2A2,Circularity,Nindents.Peri,IndentWidthMean,IndentDepthMean
Dune,D1,D1-10,F,D1-A10,AD1-35,AD1-18,210,0.299134734,14,5.26,530.17,0.106207856,43.74,0.115754138,6.46,1.66
Dune,D3,D3-09,H,D3-A09,AD3-29,AD3-114,227,0.330733229,15,4.32,601.45,0.085115116,50.95,0.159571437,4.2,1.11
Dune,D3,D3-01,G,D3-A01,AD3-131,AD3-116,252,0.374125874,15,4.25,920.6,0.029590278,51.52,0.126294519,7.77,0.6
Dune,D1,D1-33,F,D1-A33,AD1-27,AD1-22,253,0.231464738,15,4.51,924.89,0.060445303,65.33,0.140727385,4.49,1
Dune,D1,D1-28,G,D1-A28,AD1-38,AD1-02,275,0.454676259,16,4.4,739.25,0.075555266,49.58,0.132874016,5.4,1.15
Dune,D3,D3-31,G,D3-A31,AD3-129,AD3-106,281,0.343589744,16,4.95,1513.09,0.019671755,60.24,0.160211102,5.58,0.77
Dune,D3,D3-15,H,D3-A15,AD3-15,AD3-100,285,0.258210646,16,4.52,848.22,0.056915732,47.21,0.158134019,4.49,0.85
Dune,D1,D1-33,H,D1-A33,AD1-27,AD1-22,288,0.164609053,13,4.63,795.06,0.104805369,46.02,0.101014025,5.58,1.74
Dune,D1,D1-10,G,D1-A10,AD1-35,AD1-18,288,0.369330454,16,5.42,912.59,0.048554506,46.64,0.134268238,6.08,1.01
Dune,D3,D3-26,G,D3-A26,AD3-30,AD3-109,294,0.41567696,16,3.58,541.7,0.088126888,54.15,0.161681487,4.63,0.81
Dune,D1,D1-25,G,D1-A25,AD1-47,AD1-13,296,0.476470588,17,4.63,772.5,0.336880689,35,0.075830229,7.35,2.47
Dune,D3,D3-05,H,D3-A05,AD3-126,AD3-106,297,0.382133995,15,4.93,1110.46,0.036581566,59.93,0.145957908,5.54,1.09
Dune,D3,D3-29,K,D3-A29,AD3-118,AD3-114,297,0.383480826,15,4.56,639.52,0.076376797,47.94,0.147108747,4.98,1.14
Dune,D1,D1-27,G,D1-A27,AD1-30,AD1-24,303,0.331838565,16,4.82,662.47,0.096207002,48.57,0.141132957,4.62,0.91
Dune,D3,D3-26,Z,D3-A26,AD3-30,AD3-109,305,0.66951567,15,4.34,321.62,0.093682207,56.3,0.162535555,5.38,0.67
Dune,D3,D3-16,F,D3-A16,AD3-117,AD3-12,306,0.232023011,12,4.45,1021.4,0.038437342,53.74,0.154806492,4.98,0.87
Dune,D1,D1-29,H,D1-A29,AD1-28,AD1-20,307,0.495750708,16,4.97,861.65,0.061579317,48.73,0.112243944,6.44,1.15
Dune,D3,D3-22,H,D3-A22,AD3-130,AD3-05,308,0.330900243,11,4.1,644.06,0.104387805,42.83,0.134557163,4.54,0.84
Dune,D3,D3-22,G,D3-A22,AD3-130,AD3-05,310,0.296296296,12,4.16,932.92,0.070353565,59.87,0.157607597,4.22,1
Dune,D3,D3-35,F,D3-A35,AD3-15,AD3-04,310,0.326145553,17,4.15,588.51,0.077903316,46.56,0.146109826,5.6,0.78
Dune,D1,D1-30,F,D1-A30,AD1-40,AD1-18,314,0.252491694,14,4.23,1159.28,0.065079386,52.38,0.108203151,6.36,1.41
Dune,D3,D3-29,H,D3-A29,AD3-118,AD3-114,317,0.434359806,14,4.37,543.55,0.150747652,44.8,0.142153146,6,0.99
Dune,D1,D1-15,H,D1-A15,AD1-26,AD1-09,318,0.527173913,15,4.76,352.61,0.229440484,54.2,0.124333925,4.76,0.91
Dune,D1,D1-14,F,D1-A14,AD1-47,AD1-11A,324,0.370018975,14,5.28,1135.33,0.030902229,52.01,0.155326185,5.47,0.66
Dune,D1,D1-24,F,D1-A24,AD1-49,AD1-16,324,0.280808081,16,5.35,499.34,0.128043983,40.18,0.139914932,5.42,0.91
Dune,D1,D1-14,Z,D1-A14,AD1-47,AD1-11A,324,0.473061761,16,4.29,547.93,0.119458777,39.6,0.121448939,6.62,1.21
Dune,D1,D1-03,H,D1-A03,AD1-29,AD1-100A,324,0.47715736,18,4.61,1693.57,0.039328761,60.58,0.086345501,8.45,1.63
Dune,D3,D3-13,G,D3-A13,AD3-21,AD3-111,325,0.266405485,14,4.2,935.66,0.069608988,77.23,0.194442194,3.68,1.06
Dune,D1,D1-26,H,D1-A26,AD1-45,AD1-202A,325,0.311557789,14,5.68,508.7,0.08834462,52.26,0.185185185,4.63,0.57
Dune,D3,D3-31,L,D3-A31,AD3-129,AD3-106,325,0.482306684,16,4.58,552.77,0.083478625,43.64,0.137749671,5.52,1.07
Dune,D1,D1-27,H,D1-A27,AD1-30,AD1-24,327,0.296629213,15,4.88,656.34,0.074320492,37.38,0.117364332,6.93,1.03
Dune,D1,D1-26,F,D1-A26,AD1-45,AD1-202A,333,0.205052006,15,5.13,1328.26,0.045103391,41.82,0.08507923,8.84,1.48
Dune,D3,D3-21,L,D3-A21,AD3-118,AD3-03,335,0.238648363,13,4.43,520.05,0.113741632,43.12,0.131136325,4.92,0.79
