species	pop	traits	emean	imean	dmat	npop	dmean	gslope	gr2	dslope	dr2
Lobelia_siphilitica	CERA	5	0.0126	0.5110	Greenhouse	10	0.0087	0.66	0.58	1.73	0.69
Lobelia_siphilitica	Krumm	5	0.0181	0.5000	Greenhouse	10	0.0086	0.49	0.43	1.87	0.68
Lobelia_siphilitica	CERA	6	0.0108	0.8020	Caruso_2003_field	3	0.0278	0.61	0.53	2.11	0.98
Lobelia_siphilitica	Krumm	6	0.0131	0.6490	Caruso_2003_field	3	0.0278	0.92	0.79	2.11	0.99
Crepis_tectorum	Vickleby	5	0.1084	0.8270	Greenhouse	54	0.1329	0.80	0.94	1.03	0.8
Arabidopsis_lyrata	SPIT	4	0.0573	0.4710	Common_garden	4	0.0534	1.07	0.89	1.37	0.97
Arabidopsis_lyrata	STUC	4	0.0109	0.6750	Common_garden	4	0.0534	1.43	0.75	2.45	0.80
Arabidopsis_lyrata	STUS	4	0.0271	0.5960	Common_garden	4	0.0534	0.88	0.83	1.13	0.91
Arabidopsis_lyrata	VIS	4	0.0473	0.6960	Common_garden	4	0.0534	0.83	0.95	1.16	0.95
Senecio_pinnatifolius	Dune	10	0.0155	0.6090	Greenhouse	16	0.6003	0.74	0.33	1.95	0.61
Senecio_pinnatifolius	Head	10	0.0995	0.8600	Greenhouse	16	0.6003	0.59	0.62	1.4	0.78
Senecio_pinnatifolius	Table	10	0.0129	0.5400	Greenhouse	16	0.6003	1.15	0.74	2.51	0.67
Senecio_pinnatifolius	Wood	10	0.0576	0.7710	Greenhouse	16	0.6003	0.74	0.7	1.7	0.66
Ipomopsis_aggregata	Vera_Falls	4	0.0085	0.5440	Caruso_2000_field	7	0.0117	0.52	0.53	1.39	0.62
Ipomopsis_aggregata	Vera_Falls	3	0.0081	0.4480	Caruso_2001_field	5	0.0024	0.55	0.94	1.08	0.91
Ipomopsis_aggregata	Vera_Falls	4	0.0064	0.8270	Campbell_2019_field	3	0.0041	0.79	0.92	1.12	0.95
Clarkia_dudleyana	Tanbark_Flats	3	0.0096	0.1320	Greenhouse	11	0.0046	0.22	0.07	1.64	0.78
Brassica_cretica	Macheri_(Ma)	7	0.0486	0.7940	Greenhouse	5	0.1087	0.56	0.75	2.48	0.83
Brassica_cretica	Topolia_(To)	7	0.0283	-0.4570	Greenhouse	5	0.1087	0.56	0.75	2.38	0.86
Brassica_cretica	Moni_Kapsa_(Mk)	7	0.0373	0.2720	Greenhouse	5	0.1087	0.72	0.77	2.1	0.98
Brassica_cretica	Roka_(Ro)	7	0.0224	0.1960	Greenhouse	5	0.1087	0.51	0.71	1.65	0.5
Brassica_cretica	Gonies_(Go)	7	0.0121	0.6800	Greenhouse	5	0.1087	0.36	0.47	2.8	0.84
Dalechampia_'scandensoides'	Tulum	6	0.0041	0.5140	Mexico_GH	12	0.0479	0.80	0.82	1.34	0.74
Dalechampia_'scandensoides'	Tulum	6	0.0041	0.5140	Costa_Rica_GH	16	0.0237	0.92	0.99	1.53	0.91
Dalechampia_scandens	Tovar	5	0.0050	0.2200	Mexico_GH	12	0.0091	0.47	0.73	1.37	0.21
Lythrum_salicaria	Mean_of_20	7	0.0092	0.6170	Greenhouse	20	0.0257	0.89	0.81	1.22	0.84
Solanum_carolinense	Landfill	5	0.0169	0.5870	Greenhouse	3	0.0967	0.82	0.42	2.52	0.72
Solanum_carolinense	Old_Field	5	0.0307	0.6520	Greenhouse	3	0.0967	1.13	0.88	1.88	0.84
Solanum_carolinense	Sheep_Pasture	5	0.0202	0.5830	Greenhouse	3	0.0967	1.24	0.92	1.63	0.50
Spergularia_marina	ASC	6	0.0604	0.7370	Greenhouse	4	0.0058	0.49	0.29	2.42	0.42
Spergularia_marina	COP	6	0.0200	0.4680	Greenhouse	4	0.0058	0.35	0.26	-0.96	0.05
Spergularia_marina	MSH	6	0.0460	0.5530	Greenhouse	4	0.0058	0.71	0.91	0.79	0.05
Spergularia_marina	SMB	6	0.0194	0.5690	Greenhouse	4	0.0058	0.50	0.47	-0.31	0.01
