"";"study_ID";"species";"npop";"ntraits";"environment";"ref"
"1";"Alcántara_et_al_2010_Aquilegia_pyrenaica_field";"Aquilegia_pyrenaica";7;8;"field";"Alcántara_et_al_2010"
"26";"Castellanos_et_al_2011_Aquilegia_pyrenaica_field";"Aquilegia_pyrenaica";7;6;"field";"Castellanos_et_al_2011"
"2";"Alcántara_et_al_2010_Aquilegia_vulgaris_field";"Aquilegia_vulgaris";8;8;"field";"Alcántara_et_al_2010"
"27";"Castellanos_et_al_2011_Aquilegia_vulgaris_field";"Aquilegia_vulgaris";8;6;"field";"Castellanos_et_al_2011"
"3";"Andersson_1997_Nigella_degenii_greenhouse";"Nigella_degenii";2;6;"greenhouse";"Andersson_1997"
"4";"Andersson_Crepis_Crepis_tectorum_greenhouse";"Crepis_tectorum";54;5;"greenhouse";"Andersson_Crepis"
"5";"Ashman_2003_Fragaria_virginiana_field";"Fragaria_virginiana";3;4;"field";"Ashman_2003"
"6";"Barrett_and_Shore_1987_Turnera_ulmifolia_greenhouse";"Turnera_ulmifolia";10;3;"greenhouse";"Barrett_and_Shore_1987"
"7";"Bartkowska_et_al._2018_Aquilegia_canadensis_field";"Aquilegia_canadensis";7;4;"field";"Bartkowska_et_al._2018"
"36";"Herlihy_and_Eckert_2007_Aquilegia_canadensis_field";"Aquilegia_canadensis";5;3;"field";"Herlihy_and_Eckert_2007"
"8";"Billington_et_al_1988_Holcus_lanatus_greenhouse";"Holcus_lanatus";2;6;"greenhouse";"Billington_et_al_1988"
"9";"Bolstad_et_al._Mexico_Dalechampia_scandens_A_greenhouse";"Dalechampia_scandens_A";9;22;"greenhouse";"Bolstad_et_al._Mexico"
"35";"Hansen_et_al._2003_Dalechampia_scandens_A_greenhouse";"Dalechampia_scandens_A";3;24;"greenhouse";"Hansen_et_al._2003"
"39";"Opedal_et_al._Costa_Rica_Dalechampia_scandens_A_field";"Dalechampia_scandens_A";15;14;"field";"Opedal_et_al._Costa_Rica"
"40";"Opedal_et_al._Costa_Rica_Dalechampia_scandens_A_greenhouse";"Dalechampia_scandens_A";12;18;"greenhouse";"Opedal_et_al._Costa_Rica"
"10";"Bolstad_et_al._Mexico_Dalechampia_scandens_B_greenhouse";"Dalechampia_scandens_B";12;5;"greenhouse";"Bolstad_et_al._Mexico"
"11";"Bonnin_et_al._1997_Medicago_truncatula_greenhouse";"Medicago_truncatula";2;24;"greenhouse";"Bonnin_et_al._1997"
"12";"Campbell_et_al_2018_Ipomopsis_aggregata_field";"Ipomopsis_aggregata";2;3;"field";"Campbell_et_al_2018"
